Geography,Category,Data Type,Unit,Current Constant,2019,2020,2021
Taiwan,Old-Age Dependency Ratio,Socio-economic indicators,%,-,20.1,21.2,22.5
Tajikistan,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.1,5.3,5.6
Thailand,Old-Age Dependency Ratio,Socio-economic indicators,%,-,17.5,18.4,19.3
Tonga,Old-Age Dependency Ratio,Socio-economic indicators,%,-,10.1,10.0,10.0
Turkmenistan,Old-Age Dependency Ratio,Socio-economic indicators,%,-,7.1,7.4,7.7
Tuvalu,Old-Age Dependency Ratio,Socio-economic indicators,%,-,9.5,9.5,9.5
Uzbekistan,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.8,7.2,7.6
Vanuatu,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.3,6.2,6.2
Vietnam,Old-Age Dependency Ratio,Socio-economic indicators,%,-,11.2,11.7,12.3
Australasia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,24.2,24.8,25.7
Australia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,24.4,25.1,26.0
New Zealand,Old-Age Dependency Ratio,Socio-economic indicators,%,-,23.1,23.5,24.2
Eastern Europe,Old-Age Dependency Ratio,Socio-economic indicators,%,-,24.6,25.4,26.2
Albania,Old-Age Dependency Ratio,Socio-economic indicators,%,-,20.8,21.6,22.5
Belarus,Old-Age Dependency Ratio,Socio-economic indicators,%,-,22.5,23.2,23.9
Bosnia and Herzegovina,Old-Age Dependency Ratio,Socio-economic indicators,%,-,25.6,26.8,28.0
Bulgaria,Old-Age Dependency Ratio,Socio-economic indicators,%,-,33.2,33.8,34.5
Croatia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,31.6,32.6,33.5
Czech Republic,Old-Age Dependency Ratio,Socio-economic indicators,%,-,30.4,31.1,31.8
Estonia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,31.0,31.5,32.2
Georgia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,24.2,24.7,25.3
Hungary,Old-Age Dependency Ratio,Socio-economic indicators,%,-,29.3,30.3,31.3
Latvia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,31.7,32.3,32.9
Lithuania,Old-Age Dependency Ratio,Socio-economic indicators,%,-,30.4,30.6,30.7
Moldova,Old-Age Dependency Ratio,Socio-economic indicators,%,-,16.5,17.4,18.3
Montenegro,Old-Age Dependency Ratio,Socio-economic indicators,%,-,23.1,23.8,24.5
North Macedonia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,20.2,20.9,21.6
Poland,Old-Age Dependency Ratio,Socio-economic indicators,%,-,26.1,27.2,28.2
Romania,Old-Age Dependency Ratio,Socio-economic indicators,%,-,28.1,29.0,29.9
Russia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,22.2,23.1,23.9
Serbia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,31.3,32.4,33.2
Slovakia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,23.5,24.5,25.5
Slovenia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,30.5,31.3,32.1
Ukraine,Old-Age Dependency Ratio,Socio-economic indicators,%,-,24.7,25.3,25.6
Latin America,Old-Age Dependency Ratio,Socio-economic indicators,%,-,13.0,13.4,13.8
Anguilla,Old-Age Dependency Ratio,Socio-economic indicators,%,-,10.6,10.6,10.6
Antigua and Barbuda,Old-Age Dependency Ratio,Socio-economic indicators,%,-,13.1,13.6,14.1
Argentina,Old-Age Dependency Ratio,Socio-economic indicators,%,-,18.1,18.3,18.5
Aruba,Old-Age Dependency Ratio,Socio-economic indicators,%,-,20.6,21.5,22.4
Bahamas,Old-Age Dependency Ratio,Socio-economic indicators,%,-,10.6,11.0,11.4
Barbados,Old-Age Dependency Ratio,Socio-economic indicators,%,-,24.4,25.1,25.9
Belize,Old-Age Dependency Ratio,Socio-economic indicators,%,-,7.4,7.6,7.8
Bermuda,Old-Age Dependency Ratio,Socio-economic indicators,%,-,27.3,28.1,28.8
Bolivia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,11.8,12.0,12.2
Brazil,Old-Age Dependency Ratio,Socio-economic indicators,%,-,13.3,13.8,14.3
British Virgin Islands,Old-Age Dependency Ratio,Socio-economic indicators,%,-,9.8,9.9,10.0
Cayman Islands,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.8,6.7,6.7
Chile,Old-Age Dependency Ratio,Socio-economic indicators,%,-,17.5,18.1,18.8
Colombia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,12.8,13.2,13.7
Costa Rica,Old-Age Dependency Ratio,Socio-economic indicators,%,-,12.2,12.8,13.3
Cuba,Old-Age Dependency Ratio,Socio-economic indicators,%,-,22.8,23.3,23.8
Curacao,Old-Age Dependency Ratio,Socio-economic indicators,%,-,26.8,27.5,28.4
Dominica,Old-Age Dependency Ratio,Socio-economic indicators,%,-,18.1,18.2,18.2
Dominican Republic,Old-Age Dependency Ratio,Socio-economic indicators,%,-,11.2,11.6,11.9
Ecuador,Old-Age Dependency Ratio,Socio-economic indicators,%,-,11.2,11.5,11.9
El Salvador,Old-Age Dependency Ratio,Socio-economic indicators,%,-,13.1,13.4,13.6
French Guiana,Old-Age Dependency Ratio,Socio-economic indicators,%,-,8.4,8.9,9.3
Grenada,Old-Age Dependency Ratio,Socio-economic indicators,%,-,14.5,14.7,15.1
Guadeloupe,Old-Age Dependency Ratio,Socio-economic indicators,%,-,30.1,31.1,32.1
Guatemala,Old-Age Dependency Ratio,Socio-economic indicators,%,-,8.3,8.5,8.7
Guyana,Old-Age Dependency Ratio,Socio-economic indicators,%,-,10.3,10.7,11.2
Haiti,Old-Age Dependency Ratio,Socio-economic indicators,%,-,8.1,8.3,8.4
Honduras,Old-Age Dependency Ratio,Socio-economic indicators,%,-,7.5,7.7,7.9
Jamaica,Old-Age Dependency Ratio,Socio-economic indicators,%,-,13.2,13.4,13.7
Martinique,Old-Age Dependency Ratio,Socio-economic indicators,%,-,33.6,34.6,35.8
Mexico,Old-Age Dependency Ratio,Socio-economic indicators,%,-,11.3,11.5,11.8
Nicaragua,Old-Age Dependency Ratio,Socio-economic indicators,%,-,8.4,8.8,9.1
Panama,Old-Age Dependency Ratio,Socio-economic indicators,%,-,12.8,13.1,13.5
Paraguay,Old-Age Dependency Ratio,Socio-economic indicators,%,-,10.3,10.6,10.9
Peru,Old-Age Dependency Ratio,Socio-economic indicators,%,-,12.7,13.1,13.5
Puerto Rico,Old-Age Dependency Ratio,Socio-economic indicators,%,-,31.3,32.8,33.8
St Kitts and Nevis,Old-Age Dependency Ratio,Socio-economic indicators,%,-,11.6,11.5,11.5
St Lucia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,14.0,14.4,14.8
St Vincent and the Grenadines,Old-Age Dependency Ratio,Socio-economic indicators,%,-,14.3,14.5,14.8
Suriname,Old-Age Dependency Ratio,Socio-economic indicators,%,-,10.6,10.8,11.0
Trinidad and Tobago,Old-Age Dependency Ratio,Socio-economic indicators,%,-,16.2,16.8,17.4
Uruguay,Old-Age Dependency Ratio,Socio-economic indicators,%,-,23.3,23.6,23.9
US Virgin Islands,Old-Age Dependency Ratio,Socio-economic indicators,%,-,32.9,34.0,35.2
Venezuela,Old-Age Dependency Ratio,Socio-economic indicators,%,-,11.8,12.3,12.6
Middle East and Africa,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.4,6.5,6.6
Algeria,Old-Age Dependency Ratio,Socio-economic indicators,%,-,10.4,10.8,11.1
Angola,Old-Age Dependency Ratio,Socio-economic indicators,%,-,4.3,4.3,4.2
Bahrain,Old-Age Dependency Ratio,Socio-economic indicators,%,-,3.4,3.6,3.9
Benin,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.0,6.0,6.0
Botswana,Old-Age Dependency Ratio,Socio-economic indicators,%,-,7.1,7.3,7.5
Burkina Faso,Old-Age Dependency Ratio,Socio-economic indicators,%,-,4.5,4.5,4.5
Burundi,Old-Age Dependency Ratio,Socio-economic indicators,%,-,4.4,4.5,4.7
Cabo Verde,Old-Age Dependency Ratio,Socio-economic indicators,%,-,7.0,7.1,7.3
Cameroon,Old-Age Dependency Ratio,Socio-economic indicators,%,-,4.9,4.9,4.9
Central African Republic,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.3,5.2,5.2
Chad,Old-Age Dependency Ratio,Socio-economic indicators,%,-,4.9,4.9,4.9
Comoros,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.3,5.4,5.5
"Congo, Democratic Republic",Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.9,5.9,5.9
Congo-Brazzaville,Old-Age Dependency Ratio,Socio-economic indicators,%,-,4.9,4.9,5.0
Côte d'Ivoire,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.2,5.2,5.2
Djibouti,Old-Age Dependency Ratio,Socio-economic indicators,%,-,7.0,7.1,7.2
Egypt,Old-Age Dependency Ratio,Socio-economic indicators,%,-,9.0,9.1,9.3
Equatorial Guinea,Old-Age Dependency Ratio,Socio-economic indicators,%,-,4.0,3.9,3.9
Eritrea,Old-Age Dependency Ratio,Socio-economic indicators,%,-,8.4,8.3,8.2
Eswatini,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.9,6.9,6.8
Ethiopia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.3,6.3,6.3
Gabon,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.0,6.0,6.0
Gambia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,4.8,4.7,4.7
Ghana,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.2,5.3,5.3
Guinea,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.5,5.5,5.5
Guinea-Bissau,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.2,5.2,5.3
Iran,Old-Age Dependency Ratio,Socio-economic indicators,%,-,9.2,9.6,10.0
Iraq,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.8,5.9,5.9
Israel,Old-Age Dependency Ratio,Socio-economic indicators,%,-,19.8,20.1,20.5
Jordan,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.3,6.4,6.5
Kenya,Old-Age Dependency Ratio,Socio-economic indicators,%,-,4.1,4.3,4.4
Kuwait,Old-Age Dependency Ratio,Socio-economic indicators,%,-,3.8,4.1,4.6
Lebanon,Old-Age Dependency Ratio,Socio-economic indicators,%,-,10.8,11.2,11.7
Lesotho,Old-Age Dependency Ratio,Socio-economic indicators,%,-,7.8,7.9,8.0
Liberia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.9,5.9,5.9
Libya,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.6,6.7,6.8
Madagascar,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.4,5.5,5.5
Malawi,Old-Age Dependency Ratio,Socio-economic indicators,%,-,4.9,4.9,4.8
Mali,Old-Age Dependency Ratio,Socio-economic indicators,%,-,4.9,4.9,4.9
Mauritania,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.5,5.6,5.6
Mauritius,Old-Age Dependency Ratio,Socio-economic indicators,%,-,17.0,17.7,18.4
Morocco,Old-Age Dependency Ratio,Socio-economic indicators,%,-,11.1,11.6,12.1
Mozambique,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.4,5.4,5.3
Namibia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.0,6.0,6.0
Niger,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.5,5.4,5.4
Nigeria,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.1,5.1,5.1
Oman,Old-Age Dependency Ratio,Socio-economic indicators,%,-,3.3,3.5,3.7
Qatar,Old-Age Dependency Ratio,Socio-economic indicators,%,-,2.3,2.6,2.9
Réunion,Old-Age Dependency Ratio,Socio-economic indicators,%,-,18.8,19.6,20.4
Rwanda,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.3,5.4,5.6
Sao Tomé e Príncipe,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.4,5.4,5.5
Saudi Arabia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.0,5.2,5.5
Senegal,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.7,5.7,5.7
Seychelles,Old-Age Dependency Ratio,Socio-economic indicators,%,-,11.4,11.8,12.4
Sierra Leone,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.2,5.2,5.1
Somalia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.7,5.7,5.7
South Africa,Old-Age Dependency Ratio,Socio-economic indicators,%,-,8.2,8.4,8.5
South Sudan,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.1,6.1,6.0
Sudan,Old-Age Dependency Ratio,Socio-economic indicators,%,-,6.5,6.5,6.5
Syria,Old-Age Dependency Ratio,Socio-economic indicators,%,-,7.4,7.6,7.7
Tanzania,Old-Age Dependency Ratio,Socio-economic indicators,%,-,4.9,4.9,4.9
Togo,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.1,5.1,5.2
Tunisia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,12.8,13.4,13.9
Uganda,Old-Age Dependency Ratio,Socio-economic indicators,%,-,3.8,3.8,3.8
United Arab Emirates,Old-Age Dependency Ratio,Socio-economic indicators,%,-,1.3,1.4,1.6
Yemen,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.0,5.0,5.1
Zambia,Old-Age Dependency Ratio,Socio-economic indicators,%,-,4.0,4.0,4.0
Zimbabwe,Old-Age Dependency Ratio,Socio-economic indicators,%,-,5.4,5.5,5.5
North America,Old-Age Dependency Ratio,Socio-economic indicators,%,-,25.4,26.2,27.0
Canada,Old-Age Dependency Ratio,Socio-economic indicators,%,-,26.4,27.2,28.1
USA,Old-Age Dependency Ratio,Socio-economic indicators,%,-,25.3,26.1,26.8
Western Europe,Old-Age Dependency Ratio,Socio-economic indicators,%,-,28.5,28.9,29.4
Austria,Old-Age Dependency Ratio,Socio-economic indicators,%,-,28.2,28.6,28.9
Belgium,Old-Age Dependency Ratio,Socio-economic indicators,%,-,29.5,30.0,30.3
Cyprus,Old-Age Dependency Ratio,Socio-economic indicators,%,-,20.3,20.9,21.5
Denmark,Old-Age Dependency Ratio,Socio-economic indicators,%,-,30.6,31.1,31.7
Finland,Old-Age Dependency Ratio,Socio-economic indicators,%,-,35.1,36.0,36.8
France,Old-Age Dependency Ratio,Socio-economic indicators,%,-,32.7,33.5,34.0
Germany,Old-Age Dependency Ratio,Socio-economic indicators,%,-,33.2,33.7,34.2
Gibraltar,Old-Age Dependency Ratio,Socio-economic indicators,%,-,25.0,25.0,25.0
Greece,Old-Age Dependency Ratio,Socio-economic indicators,%,-,34.6,35.1,35.7
Iceland,Old-Age Dependency Ratio,Socio-economic indicators,%,-,23.4,24.1,24.8
Ireland,Old-Age Dependency Ratio,Socio-economic indicators,%,-,21.6,22.1,22.5
Italy,Old-Age Dependency Ratio,Socio-economic indicators,%,-,35.8,36.4,36.9
Liechtenstein,Old-Age Dependency Ratio,Socio-economic indicators,%,-,26.4,27.1,27.8
Luxembourg,Old-Age Dependency Ratio,Socio-economic indicators,%,-,20.3,20.5,20.9
Malta,Old-Age Dependency Ratio,Socio-economic indicators,%,-,32.2,33.2,34.2
Monaco,Old-Age Dependency Ratio,Socio-economic indicators,%,-,86.6,91.5,96.2
Netherlands,Old-Age Dependency Ratio,Socio-economic indicators,%,-,29.5,30.1,30.6
Norway,Old-Age Dependency Ratio,Socio-economic indicators,%,-,26.4,26.9,27.6
Portugal,Old-Age Dependency Ratio,Socio-economic indicators,%,-,33.9,34.5,35.0
Spain,Old-Age Dependency Ratio,Socio-economic indicators,%,-,29.5,29.7,30.1
Sweden,Old-Age Dependency Ratio,Socio-economic indicators,%,-,31.9,32.1,32.4
Switzerland,Old-Age Dependency Ratio,Socio-economic indicators,%,-,27.8,28.2,28.4
Turkey,Old-Age Dependency Ratio,Socio-economic indicators,%,-,12.9,13.4,14.1
United Kingdom,Old-Age Dependency Ratio,Socio-economic indicators,%,-,28.9,29.3,29.6
