Geography,Category,Data Type,Unit,Current Constant,2016,2017,2018,2019,2020,2021
Kyrgyzstan,Government Expenditure on Health,Socio-economic indicators,KGS million,Current Prices,"17,586.4","18,851.8","18,426.0","19,310.0","19,478.5","22,921.2"
Malaysia,Government Expenditure on Health,Socio-economic indicators,MYR million,Current Prices,"26,216.8","29,551.0","32,628.7","33,489.5","34,021.8","37,299.2"
Maldives,Government Expenditure on Health,Socio-economic indicators,MVR million,Current Prices,561.1,489.6,570.4,619.4,613.0,688.2
Mongolia,Government Expenditure on Health,Socio-economic indicators,MNT million,Current Prices,"631,826.2","554,318.4","1,026,923.3","1,375,470.3","1,743,824.1","2,094,985.1"
Myanmar,Government Expenditure on Health,Socio-economic indicators,MMK million,Current Prices,"740,289.3","901,324.4","831,672.1","923,306.6","1,083,337.3","1,055,812.3"
Nepal,Government Expenditure on Health,Socio-economic indicators,NPR million,Current Prices,"32,686.1","45,352.1","35,921.1","39,645.5","33,627.7","31,740.0"
Pakistan,Government Expenditure on Health,Socio-economic indicators,PKR million,Current Prices,"39,811.2","51,475.9","57,342.7","68,951.0","74,167.2","80,270.5"
Papua New Guinea,Government Expenditure on Health,Socio-economic indicators,PGK million,Current Prices,"1,137.6","1,122.3","1,347.3","1,759.8","2,027.3","2,100.2"
Philippines,Government Expenditure on Health,Socio-economic indicators,PHP million,Current Prices,"133,640.0","154,970.7","174,870.6","200,734.6","226,489.3","252,488.7"
Samoa,Government Expenditure on Health,Socio-economic indicators,WST million,Current Prices,86.8,86.7,84.4,126.9,121.2,131.9
Singapore,Government Expenditure on Health,Socio-economic indicators,SGD million,Current Prices,"11,543.2","10,230.1","9,206.5","12,443.3","16,539.3","16,727.3"
Solomon Islands,Government Expenditure on Health,Socio-economic indicators,SBD million,Current Prices,565.0,602.4,597.3,528.9,588.7,596.6
South Korea,Government Expenditure on Health,Socio-economic indicators,KRW million,Current Prices,"5,587,400.0","5,937,499.5","6,372,569.6","7,148,102.0","8,021,683.3","9,037,626.7"
Sri Lanka,Government Expenditure on Health,Socio-economic indicators,LKR million,Current Prices,"184,731.2","196,063.2","216,735.0","242,882.8","255,470.8","271,257.1"
Thailand,Government Expenditure on Health,Socio-economic indicators,THB million,Current Prices,"167,088.4","184,700.1","202,261.9","232,355.3","263,845.6","291,590.3"
Uzbekistan,Government Expenditure on Health,Socio-economic indicators,UZS million,Current Prices,"5,835,796.9","6,785,340.9","9,411,450.1","12,890,795.0","15,237,375.4","17,769,587.1"
Vanuatu,Government Expenditure on Health,Socio-economic indicators,VUV million,Current Prices,"3,363.9","3,535.2","3,362.0","3,422.3","4,528.6","4,725.8"
Vietnam,Government Expenditure on Health,Socio-economic indicators,VND million,Current Prices,"39,475,991.3","42,667,537.5","45,199,217.6","55,040,907.4","56,299,269.0","53,818,570.4"
Australasia,Government Expenditure on Health,Socio-economic indicators,USD million,Current Prices,"98,269.8","109,607.2","112,496.3","113,975.2","144,045.1","164,922.9"
Australia,Government Expenditure on Health,Socio-economic indicators,AUD million,Current Prices,"116,225.7","126,002.8","132,083.6","142,172.0","184,940.0","192,714.6"
New Zealand,Government Expenditure on Health,Socio-economic indicators,NZD million,Current Prices,"17,782.8","18,369.1","19,932.0","23,032.2","25,987.0","28,575.5"
Eastern Europe,Government Expenditure on Health,Socio-economic indicators,USD million,Current Prices,"124,529.9","135,028.4","152,561.3","158,224.2","177,368.4","197,034.1"
Albania,Government Expenditure on Health,Socio-economic indicators,ALL million,Current Prices,"42,164.9","45,221.4","49,109.5","51,684.5","57,434.8","63,285.1"
Belarus,Government Expenditure on Health,Socio-economic indicators,BYN million,Current Prices,"4,551.2","4,762.6","5,329.1","5,687.0","6,284.5","6,575.3"
Bulgaria,Government Expenditure on Health,Socio-economic indicators,BGN million,Current Prices,"4,706.9","4,978.1","5,514.3","5,872.8","6,911.9","7,909.0"
Croatia,Government Expenditure on Health,Socio-economic indicators,HRK million,Current Prices,"21,787.1","22,803.1","23,784.0","25,572.1","27,904.7","29,122.4"
Czech Republic,Government Expenditure on Health,Socio-economic indicators,CZK million,Current Prices,"355,843.0","377,509.0","405,005.0","437,842.4","497,484.2","542,619.6"
Estonia,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,"1,118.7","1,187.8","1,337.6","1,497.3","1,684.3","1,822.4"
Georgia,Government Expenditure on Health,Socio-economic indicators,GEL million,Current Prices,833.3,931.9,"1,077.2","1,101.5","1,532.5","2,242.2"
Hungary,Government Expenditure on Health,Socio-economic indicators,HuF million,Current Prices,"1,707,433.2","1,850,103.7","2,029,635.0","2,168,781.1","2,459,637.5","2,690,391.4"
Kosovo,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,169.8,180.0,200.8,211.5,256.2,277.2
Latvia,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,935.4,947.0,"1,171.5","1,292.7","1,439.1","1,676.0"
Lithuania,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,"2,260.2","2,390.0","2,688.7","3,050.6","3,872.2","4,239.8"
Moldova,Government Expenditure on Health,Socio-economic indicators,MDL million,Current Prices,"6,501.7","7,268.9","7,799.0","8,634.5","9,482.5","10,152.7"
Poland,Government Expenditure on Health,Socio-economic indicators,PLN million,Current Prices,"86,197.8","93,179.3","101,941.0","112,004.1","133,444.8","137,818.6"
Romania,Government Expenditure on Health,Socio-economic indicators,RON million,Current Prices,"30,871.0","37,117.0","44,376.8","53,103.3","63,360.3","70,630.8"
Russia,Government Expenditure on Health,Socio-economic indicators,RUB million,Current Prices,"2,960,063.0","2,672,696.6","3,133,590.4","3,312,324.6","3,923,311.6","4,488,366.2"
Serbia,Government Expenditure on Health,Socio-economic indicators,RSD million,Current Prices,"235,129.1","238,185.9","256,932.6","283,875.1","334,416.3","354,784.0"
Slovakia,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,"6,058.0","5,835.6","6,257.3","6,890.0","7,747.0","8,442.2"
Slovenia,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,"2,708.5","2,816.8","3,003.2","3,224.0","3,777.6","4,072.9"
Ukraine,Government Expenditure on Health,Socio-economic indicators,UAH million,Current Prices,"76,270.1","102,772.9","117,434.2","129,552.8","149,879.9","159,488.1"
Latin America,Government Expenditure on Health,Socio-economic indicators,USD million,Current Prices,"112,899.1","122,117.2","121,264.1","117,312.4","111,059.5","119,409.7"
Argentina,Government Expenditure on Health,Socio-economic indicators,ARS million,Current Prices,"247,623.2","329,726.1","407,998.2","591,205.8","834,063.3","1,006,068.1"
Bahamas,Government Expenditure on Health,Socio-economic indicators,BSD million,Current Prices,256.3,329.0,294.4,337.5,383.7,433.4
Barbados,Government Expenditure on Health,Socio-economic indicators,BBD million,Current Prices,303.1,300.8,274.7,251.8,284.5,288.6
Belize,Government Expenditure on Health,Socio-economic indicators,BZD million,Current Prices,101.8,103.8,101.8,108.6,108.5,109.7
Bolivia,Government Expenditure on Health,Socio-economic indicators,BOB million,Current Prices,"7,486.1","8,312.3","8,821.7","8,930.5","8,646.5","9,280.5"
Brazil,Government Expenditure on Health,Socio-economic indicators,BRL million,Current Prices,"140,298.6","140,617.1","154,537.2","165,106.5","194,216.0","194,642.1"
Chile,Government Expenditure on Health,Socio-economic indicators,CLP million,Current Prices,"8,147,304.5","9,103,244.3","10,063,895.1","10,997,088.9","12,608,251.6","17,399,532.6"
Colombia,Government Expenditure on Health,Socio-economic indicators,COP million,Current Prices,"29,374,409.2","30,599,680.5","38,815,286.0","39,517,189.5","38,039,039.4","45,144,228.4"
Costa Rica,Government Expenditure on Health,Socio-economic indicators,CRC million,Current Prices,"1,316,037.4","1,398,234.3","1,501,825.4","973,423.2","819,677.7","709,619.7"
Dominican Republic,Government Expenditure on Health,Socio-economic indicators,DOP million,Current Prices,"59,783.6","67,593.0","68,453.9","75,562.1","96,626.6","95,503.0"
El Salvador,Government Expenditure on Health,Socio-economic indicators,USD million,Current Prices,872.7,842.9,958.6,"1,015.8","1,209.0","1,185.3"
Grenada,Government Expenditure on Health,Socio-economic indicators,XCD million,Current Prices,69.8,69.9,71.7,72.1,77.2,82.4
Guatemala,Government Expenditure on Health,Socio-economic indicators,GTQ million,Current Prices,"5,799.8","5,896.5","6,357.1","7,696.3","9,133.1","9,025.9"
Jamaica,Government Expenditure on Health,Socio-economic indicators,JMD million,Current Prices,"57,289.4","64,687.8","71,530.4","74,592.0","77,457.7","77,929.7"
Mexico,Government Expenditure on Health,Socio-economic indicators,MXN million,Current Prices,"269,152.0","260,841.7","281,311.5","291,542.2","309,630.7","325,766.5"
Nicaragua,Government Expenditure on Health,Socio-economic indicators,NIO million,Current Prices,"17,857.9","19,998.2","20,218.1","21,383.7","23,158.4","26,176.9"
Panama,Government Expenditure on Health,Socio-economic indicators,PAB million,Current Prices,"1,147.2","1,220.9","1,219.0","1,280.9","1,394.5","1,471.0"
Paraguay,Government Expenditure on Health,Socio-economic indicators,PYG million,Current Prices,"3,398,140.5","3,641,199.1","4,053,055.1","4,641,381.9","5,294,606.0","5,094,390.4"
St Vincent and the Grenadines,Government Expenditure on Health,Socio-economic indicators,XCD million,Current Prices,80.5,87.4,88.8,100.4,107.4,121.2
Trinidad and Tobago,Government Expenditure on Health,Socio-economic indicators,TTD million,Current Prices,"4,449.3","4,397.6","4,674.3","4,963.0","5,263.3","5,338.8"
Uruguay,Government Expenditure on Health,Socio-economic indicators,UYU million,Current Prices,"37,618.4","40,511.9","44,525.3","49,063.9","54,006.2","59,750.8"
Middle East and Africa,Government Expenditure on Health,Socio-economic indicators,USD million,Current Prices,"94,511.4","99,310.1","105,176.0","110,425.9","113,368.6","127,314.6"
Algeria,Government Expenditure on Health,Socio-economic indicators,DZD million,Current Prices,"437,330.7","436,460.1","463,398.8","463,955.1","423,955.9","483,720.8"
Angola,Government Expenditure on Health,Socio-economic indicators,AOA million,Current Prices,"203,665.0","219,127.2","260,552.8","357,367.7","438,610.4","518,987.5"
Bahrain,Government Expenditure on Health,Socio-economic indicators,BHD million,Current Prices,467.6,480.1,533.3,433.4,400.9,377.5
Botswana,Government Expenditure on Health,Socio-economic indicators,BWP million,Current Prices,"5,167.5","5,370.6","7,438.5","8,096.4","8,537.2","9,223.6"
Burkina Faso,Government Expenditure on Health,Socio-economic indicators,XOF million,Current Prices,"79,193.1","99,738.7","134,282.3","87,835.8","99,859.5","101,090.9"
Burundi,Government Expenditure on Health,Socio-economic indicators,BIF million,Current Prices,"140,601.9","168,088.4","179,193.9","203,465.1","217,440.0","257,875.5"
Cabo Verde,Government Expenditure on Health,Socio-economic indicators,CVE million,Current Prices,"4,317.1","4,230.3","4,530.1","4,880.9","4,693.7","5,456.3"
Central African Republic,Government Expenditure on Health,Socio-economic indicators,XAF million,Current Prices,"5,978.4","7,608.8","10,164.2","10,297.7","15,724.0","12,857.4"
"Congo, Democratic Republic",Government Expenditure on Health,Socio-economic indicators,CDF million,Current Prices,"8,371.3","8,897.4","13,075.8","16,390.4","16,396.9","21,618.4"
Congo-Brazzaville,Government Expenditure on Health,Socio-economic indicators,XAF million,Current Prices,"119,908.1","87,167.2","69,600.4","78,693.0","66,443.0","70,413.1"
Côte d'Ivoire,Government Expenditure on Health,Socio-economic indicators,XOF million,Current Prices,"313,816.6","343,584.4","355,190.3","369,845.3","451,436.1","474,748.2"
Egypt,Government Expenditure on Health,Socio-economic indicators,EGP million,Current Prices,"43,999.8","50,018.3","52,443.4","58,249.6","66,207.3","71,631.8"
Equatorial Guinea,Government Expenditure on Health,Socio-economic indicators,XAF million,Current Prices,"19,795.0","15,188.3","15,039.4","11,948.6","9,833.9","12,423.6"
Eswatini,Government Expenditure on Health,Socio-economic indicators,SZL million,Current Prices,"1,310.8","1,406.2","1,467.7","1,503.4","1,567.2","1,615.5"
Ethiopia,Government Expenditure on Health,Socio-economic indicators,ETB million,Current Prices,"10,718.6","9,981.3","15,462.8","21,861.4","26,893.4","31,683.1"
Gambia,Government Expenditure on Health,Socio-economic indicators,GMD million,Current Prices,775.1,"1,029.6","1,040.9","1,339.2","1,458.8","1,764.7"
Ghana,Government Expenditure on Health,Socio-economic indicators,GHS million,Current Prices,"2,562.7","2,698.1","3,058.2","3,556.0","5,065.7","5,781.4"
Iran,Government Expenditure on Health,Socio-economic indicators,IRR million,Current Prices,"173,437,642.8","202,402,482.1","233,006,355.9","267,755,182.4","362,659,046.2","563,331,771.6"
Israel,Government Expenditure on Health,Socio-economic indicators,ILS million,Current Prices,"46,982.2","48,824.7","50,649.2","54,502.9","65,496.6","67,541.0"
Jordan,Government Expenditure on Health,Socio-economic indicators,JOD million,Current Prices,928.6,826.8,"1,097.0","1,093.0","1,119.2","1,194.7"
Kenya,Government Expenditure on Health,Socio-economic indicators,KES million,Current Prices,"63,981.2","52,771.1","63,597.9","77,252.7","75,259.0","81,122.7"
Kuwait,Government Expenditure on Health,Socio-economic indicators,KWD million,Current Prices,816.6,846.0,906.7,"1,017.0",915.2,"1,247.4"
Lebanon,Government Expenditure on Health,Socio-economic indicators,LBP million,Current Prices,"513,265.6","621,345.8","677,054.6","716,534.8","509,472.4","879,535.3"
Lesotho,Government Expenditure on Health,Socio-economic indicators,LSL million,Current Prices,"1,623.5","1,533.1","1,697.0","1,834.6","1,796.8","1,745.2"
Liberia,Government Expenditure on Health,Socio-economic indicators,LRD million,Current Prices,"10,008.3","10,945.1","14,173.5","18,157.0","18,457.3","17,109.4"
Madagascar,Government Expenditure on Health,Socio-economic indicators,MGA million,Current Prices,"477,112.4","285,779.4","408,144.3","583,400.3","571,226.0","673,069.9"
Mauritius,Government Expenditure on Health,Socio-economic indicators,MUR million,Current Prices,"10,778.3","11,476.5","11,869.3","14,128.5","14,705.4","15,383.3"
Morocco,Government Expenditure on Health,Socio-economic indicators,MAD million,Current Prices,"9,976.8","10,302.4","10,665.1","10,938.4","12,640.8","11,695.9"
Mozambique,Government Expenditure on Health,Socio-economic indicators,MZN million,Current Prices,"21,159.2","23,141.5","24,744.5","24,423.4","26,933.8","30,665.8"
Namibia,Government Expenditure on Health,Socio-economic indicators,NAD million,Current Prices,"6,152.0","6,893.3","6,957.4","9,433.4","10,474.7","10,559.8"
Nigeria,Government Expenditure on Health,Socio-economic indicators,NGN million,Current Prices,"701,627.6","965,221.1","1,159,464.1","1,277,762.1","1,307,958.9","1,705,956.4"
Oman,Government Expenditure on Health,Socio-economic indicators,OMR million,Current Prices,723.1,694.7,720.1,740.1,689.2,750.6
Qatar,Government Expenditure on Health,Socio-economic indicators,QAR million,Current Prices,"10,513.7","9,639.9","9,145.2","9,884.2","8,650.3","9,218.3"
Senegal,Government Expenditure on Health,Socio-economic indicators,XOF million,Current Prices,"111,159.8","112,590.5","119,048.7","136,385.1","153,992.8","159,375.6"
Seychelles,Government Expenditure on Health,Socio-economic indicators,SCR million,Current Prices,726.6,776.4,920.5,921.7,"1,263.3","1,238.2"
Sierra Leone,Government Expenditure on Health,Socio-economic indicators,SLL million,Current Prices,"544,195.5","617,517.4","664,072.8","749,868.3","985,975.4","1,041,112.0"
South Africa,Government Expenditure on Health,Socio-economic indicators,ZAR million,Current Prices,"144,781.0","181,932.1","197,432.7","217,155.9","256,291.9","273,234.2"
Syria,Government Expenditure on Health,Socio-economic indicators,SYP million,Current Prices,-,-,-,-,-,-
Tanzania,Government Expenditure on Health,Socio-economic indicators,TZS million,Current Prices,"594,681.3","916,454.9","1,270,857.2","1,675,694.0","1,727,046.5","2,208,650.5"
Tunisia,Government Expenditure on Health,Socio-economic indicators,TND million,Current Prices,"1,148.5","1,297.9","1,435.5","1,608.4","1,827.8","1,938.6"
Uganda,Government Expenditure on Health,Socio-economic indicators,UGX million,Current Prices,"1,136,667.8","1,297,054.9","1,137,221.5","1,949,435.4","2,325,360.6","2,468,009.1"
United Arab Emirates,Government Expenditure on Health,Socio-economic indicators,AED million,Current Prices,"34,666.8","34,353.7","25,282.5","26,140.2","21,964.0","21,726.6"
Yemen,Government Expenditure on Health,Socio-economic indicators,YER million,Current Prices,"71,627.4","42,116.2","82,848.1","81,522.9","82,632.9","113,191.9"
Zambia,Government Expenditure on Health,Socio-economic indicators,ZMW million,Current Prices,"3,652.3","5,995.5","4,459.4","4,830.3","6,283.1","6,874.2"
Zimbabwe,Government Expenditure on Health,Socio-economic indicators,USD million,Current Prices,420.9,531.9,649.3,264.1,277.6,362.3
North America,Government Expenditure on Health,Socio-economic indicators,USD million,Current Prices,"1,690,291.4","1,760,178.7","1,856,516.6","1,963,215.5","2,464,461.5","2,543,625.2"
Canada,Government Expenditure on Health,Socio-economic indicators,CAD million,Current Prices,"185,944.4","191,573.6","196,626.1","201,183.1","245,944.8","251,225.5"
USA,Government Expenditure on Health,Socio-economic indicators,USD million,Current Prices,"1,549,998.4","1,612,557.7","1,704,770.4","1,811,598.8","2,281,069.3","2,343,266.2"
Western Europe,Government Expenditure on Health,Socio-economic indicators,USD million,Current Prices,"1,202,627.8","1,241,822.4","1,332,028.5","1,322,480.3","1,482,900.1","1,681,040.4"
Austria,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,"29,223.8","30,239.1","31,757.1","33,030.5","37,465.2","39,623.2"
Belgium,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,"32,788.7","33,772.4","34,961.0","36,135.6","39,415.0","40,787.1"
Cyprus,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,474.8,506.3,568.9,874.2,"1,025.5","1,150.3"
Denmark,Government Expenditure on Health,Socio-economic indicators,DKK million,Current Prices,"177,819.9","182,524.8","186,880.1","192,063.6","210,861.1","221,015.8"
Finland,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,"15,614.0","15,868.0","16,488.2","17,092.0","18,273.6","18,796.1"
France,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,"181,527.1","186,343.9","189,810.1","195,072.4","205,861.2","223,062.0"
Germany,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,"225,794.0","233,535.8","242,284.3","254,757.2","279,117.6","301,506.9"
Greece,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,"8,839.0","9,541.7","9,631.5","9,860.8","11,557.6","12,446.5"
Iceland,Government Expenditure on Health,Socio-economic indicators,ISK million,Current Prices,"184,206.6","199,354.2","220,023.2","237,136.6","266,160.3","286,704.1"
Ireland,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,"13,902.6","14,569.6","15,542.6","16,641.2","19,998.9","21,503.3"
Italy,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,"117,190.9","118,390.0","120,434.4","122,054.3","132,419.2","139,741.2"
Luxembourg,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,"2,679.0","2,896.4","3,053.6","3,215.4","3,660.8","3,513.7"
Malta,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,558.0,618.3,670.6,737.4,888.0,936.5
Netherlands,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,"53,412.0","55,879.9","59,130.2","62,588.8","70,789.4","77,509.1"
Norway,Government Expenditure on Health,Socio-economic indicators,NOK million,Current Prices,"266,810.0","277,151.0","290,846.0","310,060.0","335,382.8","351,091.0"
Portugal,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,"11,387.8","12,240.6","13,251.8","14,019.5","15,698.7","17,155.0"
Spain,Government Expenditure on Health,Socio-economic indicators,EUR million,Current Prices,"67,724.0","69,331.5","72,177.7","75,889.3","85,660.7","89,784.8"
Sweden,Government Expenditure on Health,Socio-economic indicators,SEK million,Current Prices,"302,945.5","316,508.0","338,097.8","351,797.1","373,324.5","393,434.8"
Switzerland,Government Expenditure on Health,Socio-economic indicators,CHF million,Current Prices,"14,641.4","14,473.8","15,043.7","15,421.7","17,334.3","18,020.2"
Turkey,Government Expenditure on Health,Socio-economic indicators,TRY million,Current Prices,"142,716.9","162,690.6","192,932.4","244,224.2","274,478.6","350,841.5"
United Kingdom,Government Expenditure on Health,Socio-economic indicators,GBP million,Current Prices,"150,858.0","154,667.0","160,896.0","171,003.7","206,318.0","239,624.0"
