Geography,Category,Data Type,Unit,Current Constant,2016,2017,2018,2019,2020,2021
Romania,Death Rates,Socio-economic indicators,per '000 population,-,13.1,13.3,13.6,13.4,15.4,14.4
Russia,Death Rates,Socio-economic indicators,per '000 population,-,12.9,12.4,12.4,12.2,14.5,13.9
Serbia,Death Rates,Socio-economic indicators,per '000 population,-,14.3,14.8,14.6,14.6,16.7,16.8
Slovakia,Death Rates,Socio-economic indicators,per '000 population,-,9.6,9.9,10.0,9.8,10.8,11.3
Slovenia,Death Rates,Socio-economic indicators,per '000 population,-,9.5,9.9,9.9,9.9,11.4,10.6
Ukraine,Death Rates,Socio-economic indicators,per '000 population,-,13.7,13.6,14.0,13.9,14.8,15.0
Latin America,Death Rates,Socio-economic indicators,per '000 population,-,6.2,6.2,6.2,6.3,7.3,7.2
Anguilla,Death Rates,Socio-economic indicators,per '000 population,-,5.8,5.9,6.2,6.5,6.8,7.0
Antigua and Barbuda,Death Rates,Socio-economic indicators,per '000 population,-,6.3,6.3,6.4,6.4,6.5,6.6
Argentina,Death Rates,Socio-economic indicators,per '000 population,-,8.1,7.8,7.6,7.7,7.9,7.8
Aruba,Death Rates,Socio-economic indicators,per '000 population,-,8.8,8.9,9.1,9.2,9.4,9.5
Bahamas,Death Rates,Socio-economic indicators,per '000 population,-,6.7,6.7,6.8,6.8,6.9,7.0
Barbados,Death Rates,Socio-economic indicators,per '000 population,-,8.9,8.9,9.0,9.1,9.1,9.2
Belize,Death Rates,Socio-economic indicators,per '000 population,-,4.7,4.7,4.7,4.8,4.8,4.8
Bermuda,Death Rates,Socio-economic indicators,per '000 population,-,7.8,7.6,8.5,8.6,9.1,9.3
Bolivia,Death Rates,Socio-economic indicators,per '000 population,-,6.8,6.8,6.8,6.8,7.2,7.0
Brazil,Death Rates,Socio-economic indicators,per '000 population,-,6.3,6.2,6.2,6.3,7.6,7.6
British Virgin Islands,Death Rates,Socio-economic indicators,per '000 population,-,4.1,5.2,5.6,5.8,6.1,6.3
Cayman Islands,Death Rates,Socio-economic indicators,per '000 population,-,3.1,3.4,3.3,3.8,4.0,4.1
Chile,Death Rates,Socio-economic indicators,per '000 population,-,5.7,5.8,5.7,5.8,6.6,6.3
Colombia,Death Rates,Socio-economic indicators,per '000 population,-,5.5,5.5,5.5,5.6,6.6,6.3
Costa Rica,Death Rates,Socio-economic indicators,per '000 population,-,4.6,4.6,4.7,4.8,5.2,5.2
Cuba,Death Rates,Socio-economic indicators,per '000 population,-,8.7,8.8,9.0,9.1,9.3,9.5
Curacao,Death Rates,Socio-economic indicators,per '000 population,-,8.5,8.7,8.8,8.9,9.1,9.2
Dominica,Death Rates,Socio-economic indicators,per '000 population,-,9.6,9.8,10.1,10.3,10.4,10.6
Dominican Republic,Death Rates,Socio-economic indicators,per '000 population,-,6.1,6.1,6.2,6.2,6.2,6.3
Ecuador,Death Rates,Socio-economic indicators,per '000 population,-,5.1,5.2,5.2,5.2,6.7,6.0
El Salvador,Death Rates,Socio-economic indicators,per '000 population,-,7.0,7.0,7.0,7.1,7.1,7.1
French Guiana,Death Rates,Socio-economic indicators,per '000 population,-,2.9,2.9,2.9,3.0,3.0,3.0
Grenada,Death Rates,Socio-economic indicators,per '000 population,-,9.5,9.6,9.6,9.6,9.6,9.6
Guadeloupe,Death Rates,Socio-economic indicators,per '000 population,-,8.0,8.1,8.2,8.4,8.5,8.6
Guatemala,Death Rates,Socio-economic indicators,per '000 population,-,5.1,5.0,5.0,5.0,5.6,5.3
Guyana,Death Rates,Socio-economic indicators,per '000 population,-,7.3,7.4,7.5,7.6,7.7,7.8
Haiti,Death Rates,Socio-economic indicators,per '000 population,-,8.8,8.6,8.5,8.4,8.4,8.3
Honduras,Death Rates,Socio-economic indicators,per '000 population,-,4.4,4.4,4.4,4.5,4.5,4.5
Jamaica,Death Rates,Socio-economic indicators,per '000 population,-,7.5,7.6,7.6,7.6,7.6,7.6
Martinique,Death Rates,Socio-economic indicators,per '000 population,-,8.8,9.0,9.1,9.3,9.4,9.5
Mexico,Death Rates,Socio-economic indicators,per '000 population,-,5.7,5.8,5.8,5.9,7.9,7.6
Nicaragua,Death Rates,Socio-economic indicators,per '000 population,-,5.0,5.0,5.1,5.1,5.1,5.1
Panama,Death Rates,Socio-economic indicators,per '000 population,-,5.0,5.0,5.1,5.1,5.1,5.2
Paraguay,Death Rates,Socio-economic indicators,per '000 population,-,5.4,5.5,5.5,5.5,5.6,5.6
Peru,Death Rates,Socio-economic indicators,per '000 population,-,5.4,5.4,5.5,5.6,6.6,6.1
Puerto Rico,Death Rates,Socio-economic indicators,per '000 population,-,8.9,9.2,9.4,9.7,9.9,10.1
Sint Maarten,Death Rates,Socio-economic indicators,per '000 population,-,4.3,4.3,4.2,4.1,4.1,4.1
St Kitts and Nevis,Death Rates,Socio-economic indicators,per '000 population,-,8.4,8.7,8.8,8.9,9.0,9.0
St Lucia,Death Rates,Socio-economic indicators,per '000 population,-,7.1,7.2,7.2,7.3,7.3,7.4
St Vincent and the Grenadines,Death Rates,Socio-economic indicators,per '000 population,-,9.0,9.2,9.3,9.3,9.4,9.4
Suriname,Death Rates,Socio-economic indicators,per '000 population,-,7.2,7.3,7.3,7.4,7.5,7.5
Trinidad and Tobago,Death Rates,Socio-economic indicators,per '000 population,-,8.2,8.3,8.4,8.5,8.6,8.8
Uruguay,Death Rates,Socio-economic indicators,per '000 population,-,10.0,9.7,10.0,9.5,10.1,10.2
US Virgin Islands,Death Rates,Socio-economic indicators,per '000 population,-,8.1,8.3,8.6,8.8,9.0,9.3
Venezuela,Death Rates,Socio-economic indicators,per '000 population,-,6.6,6.8,7.0,7.1,7.2,7.3
Middle East and Africa,Death Rates,Socio-economic indicators,per '000 population,-,7.8,7.7,7.5,7.4,7.4,7.3
Algeria,Death Rates,Socio-economic indicators,per '000 population,-,4.7,4.7,4.7,4.7,4.7,4.7
Angola,Death Rates,Socio-economic indicators,per '000 population,-,8.7,8.4,8.2,8.0,7.8,7.6
Bahrain,Death Rates,Socio-economic indicators,per '000 population,-,2.0,1.9,2.0,2.0,2.1,2.1
Benin,Death Rates,Socio-economic indicators,per '000 population,-,9.2,9.0,8.9,8.7,8.6,8.4
Botswana,Death Rates,Socio-economic indicators,per '000 population,-,6.0,5.8,5.7,5.7,5.7,5.8
Burkina Faso,Death Rates,Socio-economic indicators,per '000 population,-,8.6,8.3,8.1,7.9,7.7,7.5
Burundi,Death Rates,Socio-economic indicators,per '000 population,-,8.3,8.1,7.9,7.8,7.6,7.5
Cabo Verde,Death Rates,Socio-economic indicators,per '000 population,-,5.7,5.7,5.6,5.6,5.5,5.5
Cameroon,Death Rates,Socio-economic indicators,per '000 population,-,9.8,9.5,9.3,9.1,9.2,8.7
Central African Republic,Death Rates,Socio-economic indicators,per '000 population,-,13.1,12.7,12.3,12.0,11.7,11.5
Chad,Death Rates,Socio-economic indicators,per '000 population,-,12.5,12.3,12.1,11.9,11.7,11.5
Comoros,Death Rates,Socio-economic indicators,per '000 population,-,7.4,7.3,7.2,7.1,7.1,7.0
"Congo, Democratic Republic",Death Rates,Socio-economic indicators,per '000 population,-,9.9,9.7,9.5,9.3,9.1,9.0
Congo-Brazzaville,Death Rates,Socio-economic indicators,per '000 population,-,7.0,6.8,6.7,6.6,6.5,6.5
Côte d'Ivoire,Death Rates,Socio-economic indicators,per '000 population,-,10.5,10.3,10.1,9.9,9.7,9.6
Djibouti,Death Rates,Socio-economic indicators,per '000 population,-,7.5,7.3,7.1,7.0,6.9,6.9
Egypt,Death Rates,Socio-economic indicators,per '000 population,-,6.0,5.7,5.8,5.8,6.4,6.1
Equatorial Guinea,Death Rates,Socio-economic indicators,per '000 population,-,9.8,9.5,9.3,9.1,8.9,8.7
Eritrea,Death Rates,Socio-economic indicators,per '000 population,-,7.5,7.3,7.2,7.0,6.9,6.7
Eswatini,Death Rates,Socio-economic indicators,per '000 population,-,10.5,9.8,9.4,9.1,8.9,8.8
Ethiopia,Death Rates,Socio-economic indicators,per '000 population,-,6.8,6.7,6.6,6.4,6.3,6.2
Gabon,Death Rates,Socio-economic indicators,per '000 population,-,7.2,7.0,6.8,6.7,6.6,6.5
Gambia,Death Rates,Socio-economic indicators,per '000 population,-,8.2,8.0,7.9,7.7,7.6,7.4
Ghana,Death Rates,Socio-economic indicators,per '000 population,-,7.5,7.4,7.3,7.2,7.1,7.1
Guinea,Death Rates,Socio-economic indicators,per '000 population,-,9.0,8.7,8.5,8.2,8.0,7.9
Guinea-Bissau,Death Rates,Socio-economic indicators,per '000 population,-,10.0,9.8,9.6,9.4,9.3,9.1
Iran,Death Rates,Socio-economic indicators,per '000 population,-,4.8,4.8,4.8,4.8,5.1,5.0
Iraq,Death Rates,Socio-economic indicators,per '000 population,-,4.9,4.8,4.8,4.7,4.7,4.7
Israel,Death Rates,Socio-economic indicators,per '000 population,-,5.2,5.2,5.0,5.1,5.3,5.2
Jordan,Death Rates,Socio-economic indicators,per '000 population,-,3.8,3.8,3.8,3.8,3.9,3.9
Kenya,Death Rates,Socio-economic indicators,per '000 population,-,5.7,5.6,5.5,5.4,5.3,5.3
Kuwait,Death Rates,Socio-economic indicators,per '000 population,-,1.6,1.6,1.6,1.6,1.7,1.8
Lebanon,Death Rates,Socio-economic indicators,per '000 population,-,4.2,4.3,4.4,4.5,4.6,4.7
Lesotho,Death Rates,Socio-economic indicators,per '000 population,-,15.2,14.7,14.2,13.9,13.7,13.5
Liberia,Death Rates,Socio-economic indicators,per '000 population,-,8.0,7.7,7.5,7.4,7.3,7.2
Libya,Death Rates,Socio-economic indicators,per '000 population,-,5.1,5.1,5.1,5.1,5.1,5.2
Madagascar,Death Rates,Socio-economic indicators,per '000 population,-,6.3,6.2,6.1,5.9,5.8,5.7
Malawi,Death Rates,Socio-economic indicators,per '000 population,-,7.1,6.8,6.6,6.4,6.3,6.1
Mali,Death Rates,Socio-economic indicators,per '000 population,-,10.3,10.0,9.7,9.4,9.2,8.9
Mauritania,Death Rates,Socio-economic indicators,per '000 population,-,7.5,7.3,7.2,7.1,7.0,6.9
Mauritius,Death Rates,Socio-economic indicators,per '000 population,-,8.0,8.2,8.4,8.5,8.7,8.9
Morocco,Death Rates,Socio-economic indicators,per '000 population,-,5.1,5.1,5.1,5.1,5.1,5.1
Mozambique,Death Rates,Socio-economic indicators,per '000 population,-,9.5,9.0,8.5,8.2,8.0,7.8
Namibia,Death Rates,Socio-economic indicators,per '000 population,-,8.4,8.2,8.1,7.9,7.7,7.6
Niger,Death Rates,Socio-economic indicators,per '000 population,-,8.8,8.5,8.3,8.0,7.8,7.6
Nigeria,Death Rates,Socio-economic indicators,per '000 population,-,12.4,12.1,11.9,11.6,11.4,11.2
Oman,Death Rates,Socio-economic indicators,per '000 population,-,2.0,1.9,2.0,1.9,2.4,2.4
Qatar,Death Rates,Socio-economic indicators,per '000 population,-,0.9,0.8,0.9,0.8,0.9,1.0
Réunion,Death Rates,Socio-economic indicators,per '000 population,-,6.0,6.1,6.2,6.3,6.3,6.4
Rwanda,Death Rates,Socio-economic indicators,per '000 population,-,5.4,5.3,5.2,5.1,5.0,5.0
Sao Tomé e Príncipe,Death Rates,Socio-economic indicators,per '000 population,-,5.0,4.9,4.8,4.8,4.7,4.7
Saudi Arabia,Death Rates,Socio-economic indicators,per '000 population,-,3.4,3.4,3.5,3.5,3.5,3.6
Senegal,Death Rates,Socio-economic indicators,per '000 population,-,6.0,5.8,5.7,5.6,5.5,5.4
Seychelles,Death Rates,Socio-economic indicators,per '000 population,-,7.7,7.8,7.8,7.9,7.9,8.0
Sierra Leone,Death Rates,Socio-economic indicators,per '000 population,-,12.3,12.0,11.7,11.5,11.3,11.1
Somalia,Death Rates,Socio-economic indicators,per '000 population,-,11.3,11.1,10.9,10.7,10.5,10.3
South Africa,Death Rates,Socio-economic indicators,per '000 population,-,9.6,9.5,9.4,9.4,9.7,9.6
South Sudan,Death Rates,Socio-economic indicators,per '000 population,-,10.7,10.6,10.5,10.3,10.2,10.1
Sudan,Death Rates,Socio-economic indicators,per '000 population,-,7.3,7.3,7.2,7.1,7.0,7.0
Syria,Death Rates,Socio-economic indicators,per '000 population,-,5.7,5.6,5.4,5.1,4.8,4.5
Tanzania,Death Rates,Socio-economic indicators,per '000 population,-,6.9,6.6,6.4,6.3,6.1,6.0
Togo,Death Rates,Socio-economic indicators,per '000 population,-,8.7,8.6,8.4,8.3,8.2,8.1
Tunisia,Death Rates,Socio-economic indicators,per '000 population,-,5.5,6.0,5.8,6.1,6.4,6.4
Uganda,Death Rates,Socio-economic indicators,per '000 population,-,7.0,6.8,6.6,6.4,6.2,6.1
United Arab Emirates,Death Rates,Socio-economic indicators,per '000 population,-,1.0,0.9,0.9,0.9,1.0,1.0
Yemen,Death Rates,Socio-economic indicators,per '000 population,-,6.0,6.0,6.0,6.0,6.0,6.0
Zambia,Death Rates,Socio-economic indicators,per '000 population,-,6.9,6.6,6.5,6.3,6.2,6.1
Zimbabwe,Death Rates,Socio-economic indicators,per '000 population,-,8.3,8.0,7.9,7.8,7.7,7.6
North America,Death Rates,Socio-economic indicators,per '000 population,-,8.4,8.5,8.6,8.6,10.0,9.5
Canada,Death Rates,Socio-economic indicators,per '000 population,-,7.5,7.7,7.7,7.9,8.4,8.2
USA,Death Rates,Socio-economic indicators,per '000 population,-,8.5,8.6,8.6,8.6,10.2,9.7
Western Europe,Death Rates,Socio-economic indicators,per '000 population,-,9.0,9.1,9.1,9.0,9.9,9.6
Andorra,Death Rates,Socio-economic indicators,per '000 population,-,4.0,4.2,4.4,4.5,4.6,4.7
Austria,Death Rates,Socio-economic indicators,per '000 population,-,9.2,9.5,9.5,9.4,10.3,9.8
Belgium,Death Rates,Socio-economic indicators,per '000 population,-,9.6,9.7,9.7,9.5,11.0,10.3
Cyprus,Death Rates,Socio-economic indicators,per '000 population,-,6.9,7.0,7.0,7.1,7.2,7.3
Denmark,Death Rates,Socio-economic indicators,per '000 population,-,9.2,9.2,9.5,9.3,9.4,9.4
Finland,Death Rates,Socio-economic indicators,per '000 population,-,9.8,9.8,9.9,9.8,9.9,10.0
France,Death Rates,Socio-economic indicators,per '000 population,-,9.0,9.2,9.2,9.2,10.0,9.6
Germany,Death Rates,Socio-economic indicators,per '000 population,-,11.1,11.3,11.5,11.3,11.8,11.7
Gibraltar,Death Rates,Socio-economic indicators,per '000 population,-,7.4,7.4,7.5,7.5,7.6,7.6
Greece,Death Rates,Socio-economic indicators,per '000 population,-,11.0,11.6,11.2,11.7,12.3,12.4
Iceland,Death Rates,Socio-economic indicators,per '000 population,-,6.6,6.7,6.7,6.7,6.8,6.8
Ireland,Death Rates,Socio-economic indicators,per '000 population,-,6.4,6.3,6.4,6.3,6.4,6.4
Italy,Death Rates,Socio-economic indicators,per '000 population,-,10.2,10.8,10.6,10.6,12.6,11.6
Liechtenstein,Death Rates,Socio-economic indicators,per '000 population,-,7.2,6.6,7.2,6.9,7.0,6.9
Luxembourg,Death Rates,Socio-economic indicators,per '000 population,-,7.2,7.1,7.1,7.1,7.1,7.1
Malta,Death Rates,Socio-economic indicators,per '000 population,-,8.1,8.2,8.3,8.4,8.6,8.7
Monaco,Death Rates,Socio-economic indicators,per '000 population,-,13.2,12.8,13.6,13.8,14.2,14.5
Netherlands,Death Rates,Socio-economic indicators,per '000 population,-,8.7,8.8,8.9,8.8,9.7,9.3
Norway,Death Rates,Socio-economic indicators,per '000 population,-,7.8,7.7,7.7,7.6,7.5,7.5
Portugal,Death Rates,Socio-economic indicators,per '000 population,-,10.7,10.7,11.0,10.9,12.0,12.1
Spain,Death Rates,Socio-economic indicators,per '000 population,-,8.8,9.1,9.1,8.9,10.4,10.3
Sweden,Death Rates,Socio-economic indicators,per '000 population,-,9.2,9.1,9.1,8.6,9.5,9.1
Switzerland,Death Rates,Socio-economic indicators,per '000 population,-,7.8,7.9,7.9,7.9,8.8,8.3
Turkey,Death Rates,Socio-economic indicators,per '000 population,-,5.3,5.3,5.2,5.3,5.4,5.5
United Kingdom,Death Rates,Socio-economic indicators,per '000 population,-,9.1,9.2,9.2,9.0,10.4,9.7
