Geography,Category,year,thousands
St Lucia,Population Aged 60-64,2016,6.9
St Vincent and the Grenadines,Population Aged 60-64,2016,4.5
Suriname,Population Aged 60-64,2016,17.7
Trinidad and Tobago,Population Aged 60-64,2016,67.7
Uruguay,Population Aged 60-64,2016,165.8
US Virgin Islands,Population Aged 60-64,2016,7.0
Venezuela,Population Aged 60-64,2016,1024.7
Middle East and Africa,Population Aged 60-64,2016,29305.9
Algeria,Population Aged 60-64,2016,1270.6
Angola,Population Aged 60-64,2016,376.0
Bahrain,Population Aged 60-64,2016,29.7
Benin,Population Aged 60-64,2016,189.4
Botswana,Population Aged 60-64,2016,52.2
Burkina Faso,Population Aged 60-64,2016,269.0
Burundi,Population Aged 60-64,2016,170.7
Cabo Verde,Population Aged 60-64,2016,13.2
Cameroon,Population Aged 60-64,2016,378.0
Central African Republic,Population Aged 60-64,2016,74.0
Chad,Population Aged 60-64,2016,218.5
Comoros,Population Aged 60-64,2016,14.9
"Congo, Democratic Republic",Population Aged 60-64,2016,1290.6
Congo-Brazzaville,Population Aged 60-64,2016,81.0
Côte d'Ivoire,Population Aged 60-64,2016,430.8
Djibouti,Population Aged 60-64,2016,20.9
Egypt,Population Aged 60-64,2016,2463.9
Equatorial Guinea,Population Aged 60-64,2016,19.3
Eritrea,Population Aged 60-64,2016,69.3
Eswatini,Population Aged 60-64,2016,19.5
Ethiopia,Population Aged 60-64,2016,1802.7
Gabon,Population Aged 60-64,2016,35.7
Gambia,Population Aged 60-64,2016,29.8
Ghana,Population Aged 60-64,2016,513.5
Guinea,Population Aged 60-64,2016,214.1
Guinea-Bissau,Population Aged 60-64,2016,33.3
Iran,Population Aged 60-64,2016,2570.0
Iraq,Population Aged 60-64,2016,717.1
Israel,Population Aged 60-64,2016,369.5
Jordan,Population Aged 60-64,2016,170.2
Kenya,Population Aged 60-64,2016,748.1
Kuwait,Population Aged 60-64,2016,94.2
Lebanon,Population Aged 60-64,2016,221.9
Lesotho,Population Aged 60-64,2016,51.0
Liberia,Population Aged 60-64,2016,85.1
Libya,Population Aged 60-64,2016,139.3
Madagascar,Population Aged 60-64,2016,462.0
Malawi,Population Aged 60-64,2016,239.8
Mali,Population Aged 60-64,2016,265.6
Mauritania,Population Aged 60-64,2016,74.1
Mauritius,Population Aged 60-64,2016,70.3
Morocco,Population Aged 60-64,2016,1320.1
Mozambique,Population Aged 60-64,2016,437.3
Namibia,Population Aged 60-64,2016,43.7
Niger,Population Aged 60-64,2016,325.9
Nigeria,Population Aged 60-64,2016,3231.4
Oman,Population Aged 60-64,2016,69.9
Qatar,Population Aged 60-64,2016,44.3
Réunion,Population Aged 60-64,2016,44.8
Rwanda,Population Aged 60-64,2016,218.3
Sao Tomé e Príncipe,Population Aged 60-64,2016,3.4
Saudi Arabia,Population Aged 60-64,2016,744.6
Senegal,Population Aged 60-64,2016,256.9
Seychelles,Population Aged 60-64,2016,3.7
Sierra Leone,Population Aged 60-64,2016,122.1
Somalia,Population Aged 60-64,2016,239.6
South Africa,Population Aged 60-64,2016,1636.0
South Sudan,Population Aged 60-64,2016,182.3
Sudan,Population Aged 60-64,2016,769.3
Syria,Population Aged 60-64,2016,422.1
Tanzania,Population Aged 60-64,2016,798.1
Togo,Population Aged 60-64,2016,130.2
Tunisia,Population Aged 60-64,2016,480.0
Uganda,Population Aged 60-64,2016,480.2
United Arab Emirates,Population Aged 60-64,2016,82.1
Yemen,Population Aged 60-64,2016,440.0
Zambia,Population Aged 60-64,2016,198.8
Zimbabwe,Population Aged 60-64,2016,221.8
North America,Population Aged 60-64,2016,21841.2
Canada,Population Aged 60-64,2016,2313.2
USA,Population Aged 60-64,2016,19528.0
Western Europe,Population Aged 60-64,2016,27876.5
Austria,Population Aged 60-64,2016,484.3
Belgium,Population Aged 60-64,2016,673.3
Cyprus,Population Aged 60-64,2016,57.9
Denmark,Population Aged 60-64,2016,336.9
Finland,Population Aged 60-64,2016,371.7
France,Population Aged 60-64,2016,3949.8
Germany,Population Aged 60-64,2016,5202.1
Greece,Population Aged 60-64,2016,644.9
Iceland,Population Aged 60-64,2016,18.3
Ireland,Population Aged 60-64,2016,234.8
Italy,Population Aged 60-64,2016,3625.1
Luxembourg,Population Aged 60-64,2016,30.0
Malta,Population Aged 60-64,2016,28.5
Netherlands,Population Aged 60-64,2016,1053.8
Norway,Population Aged 60-64,2016,291.1
Portugal,Population Aged 60-64,2016,651.9
Spain,Population Aged 60-64,2016,2568.3
Sweden,Population Aged 60-64,2016,558.6
Switzerland,Population Aged 60-64,2016,469.0
Turkey,Population Aged 60-64,2016,3108.5
United Kingdom,Population Aged 60-64,2016,3518.0
World,Population Aged 65+,2016,628234.0
Asia Pacific,Population Aged 65+,2016,328785.3
Afghanistan,Population Aged 65+,2016,889.8
American Samoa,Population Aged 65+,2016,2.6
Armenia,Population Aged 65+,2016,322.0
Azerbaijan,Population Aged 65+,2016,597.5
Bangladesh,Population Aged 65+,2016,8098.6
Bhutan,Population Aged 65+,2016,43.0
Brunei Darussalam,Population Aged 65+,2016,18.1
Cambodia,Population Aged 65+,2016,669.8
China,Population Aged 65+,2016,139032.7
Fiji,Population Aged 65+,2016,44.4
French Polynesia,Population Aged 65+,2016,20.6
Guam,Population Aged 65+,2016,15.0
"Hong Kong, China",Population Aged 65+,2016,1163.2
India,Population Aged 65+,2016,75889.2
Indonesia,Population Aged 65+,2016,14434.8
Japan,Population Aged 65+,2016,34590.9
Kazakhstan,Population Aged 65+,2016,1226.1
Kiribati,Population Aged 65+,2016,4.1
Kyrgyzstan,Population Aged 65+,2016,264.9
Laos,Population Aged 65+,2016,267.0
"Macau, China",Population Aged 65+,2016,56.3
Malaysia,Population Aged 65+,2016,1949.9
Maldives,Population Aged 65+,2016,18.2
Mongolia,Population Aged 65+,2016,119.5
Myanmar,Population Aged 65+,2016,2828.2
Nauru,Population Aged 65+,2016,0.2
Nepal,Population Aged 65+,2016,1526.5
New Caledonia,Population Aged 65+,2016,23.8
North Korea,Population Aged 65+,2016,2441.8
Pakistan,Population Aged 65+,2016,8777.6
Papua New Guinea,Population Aged 65+,2016,272.2
Philippines,Population Aged 65+,2016,4925.1
Samoa,Population Aged 65+,2016,8.9
Singapore,Population Aged 65+,2016,578.4
Solomon Islands,Population Aged 65+,2016,22.0
South Korea,Population Aged 65+,2016,6762.8
Sri Lanka,Population Aged 65+,2016,2055.7
Taiwan,Population Aged 65+,2016,2938.6
Tajikistan,Population Aged 65+,2016,255.1
Thailand,Population Aged 65+,2016,7593.4
Tonga,Population Aged 65+,2016,6.1
Turkmenistan,Population Aged 65+,2016,235.2
Tuvalu,Population Aged 65+,2016,0.6
Uzbekistan,Population Aged 65+,2016,1290.2
Vanuatu,Population Aged 65+,2016,10.3
Vietnam,Population Aged 65+,2016,6494.2
Australasia,Population Aged 65+,2016,4353.5
Australia,Population Aged 65+,2016,3672.3
New Zealand,Population Aged 65+,2016,681.3
Eastern Europe,Population Aged 65+,2016,49605.3
Albania,Population Aged 65+,2016,375.1
Belarus,Population Aged 65+,2016,1370.0
Bosnia and Herzegovina,Population Aged 65+,2016,530.5
Bulgaria,Population Aged 65+,2016,1461.8
Croatia,Population Aged 65+,2016,804.9
Czech Republic,Population Aged 65+,2016,1932.4
Estonia,Population Aged 65+,2016,250.3
Georgia,Population Aged 65+,2016,558.8
Hungary,Population Aged 65+,2016,1796.6
Latvia,Population Aged 65+,2016,386.6
Lithuania,Population Aged 65+,2016,548.5
Moldova,Population Aged 65+,2016,419.0
Montenegro,Population Aged 65+,2016,88.6
North Macedonia,Population Aged 65+,2016,269.0
Poland,Population Aged 65+,2016,6076.4
Romania,Population Aged 65+,2016,3435.5
Russia,Population Aged 65+,2016,20025.0
Serbia,Population Aged 65+,2016,1343.4
Slovakia,Population Aged 65+,2016,783.9
Slovenia,Population Aged 65+,2016,380.1
Ukraine,Population Aged 65+,2016,6768.9
Latin America,Population Aged 65+,2016,50218.5
Anguilla,Population Aged 65+,2016,1.1
Antigua and Barbuda,Population Aged 65+,2016,7.9
Argentina,Population Aged 65+,2016,4820.9
Aruba,Population Aged 65+,2016,13.2
Bahamas,Population Aged 65+,2016,25.9
Barbados,Population Aged 65+,2016,43.0
Belize,Population Aged 65+,2016,16.6
Bermuda,Population Aged 65+,2016,10.6
Bolivia,Population Aged 65+,2016,761.4
Brazil,Population Aged 65+,2016,17091.9
British Virgin Islands,Population Aged 65+,2016,2.0
Cayman Islands,Population Aged 65+,2016,3.3
Chile,Population Aged 65+,2016,1997.4
Colombia,Population Aged 65+,2016,3817.3
Costa Rica,Population Aged 65+,2016,372.3
Cuba,Population Aged 65+,2016,1633.9
Curacao,Population Aged 65+,2016,25.5
Dominica,Population Aged 65+,2016,8.3
Dominican Republic,Population Aged 65+,2016,695.2
Ecuador,Population Aged 65+,2016,1106.1
El Salvador,Population Aged 65+,2016,503.5
French Guiana,Population Aged 65+,2016,12.1
Grenada,Population Aged 65+,2016,10.5
Guadeloupe,Population Aged 65+,2016,68.5
Guatemala,Population Aged 65+,2016,780.6
Guyana,Population Aged 65+,2016,46.2
Haiti,Population Aged 65+,2016,511.5
Honduras,Population Aged 65+,2016,411.6
Jamaica,Population Aged 65+,2016,249.6
Martinique,Population Aged 65+,2016,73.3
Mexico,Population Aged 65+,2016,8449.1
Nicaragua,Population Aged 65+,2016,306.9
Panama,Population Aged 65+,2016,312.3
Paraguay,Population Aged 65+,2016,410.4
Peru,Population Aged 65+,2016,2346.9
Puerto Rico,Population Aged 65+,2016,556.6
St Kitts and Nevis,Population Aged 65+,2016,4.2
St Lucia,Population Aged 65+,2016,16.9
St Vincent and the Grenadines,Population Aged 65+,2016,10.3
Suriname,Population Aged 65+,2016,37.9
Trinidad and Tobago,Population Aged 65+,2016,137.8
Uruguay,Population Aged 65+,2016,503.9
US Virgin Islands,Population Aged 65+,2016,19.0
Venezuela,Population Aged 65+,2016,1984.7
Middle East and Africa,Population Aged 65+,2016,51415.1
Algeria,Population Aged 65+,2016,2435.9
Angola,Population Aged 65+,2016,650.6
Bahrain,Population Aged 65+,2016,35.3
Benin,Population Aged 65+,2016,351.2
Botswana,Population Aged 65+,2016,85.5
Burkina Faso,Population Aged 65+,2016,447.9
Burundi,Population Aged 65+,2016,222.8
Cabo Verde,Population Aged 65+,2016,23.7
Cameroon,Population Aged 65+,2016,651.2
Central African Republic,Population Aged 65+,2016,127.6
Chad,Population Aged 65+,2016,356.2
Comoros,Population Aged 65+,2016,23.2
"Congo, Democratic Republic",Population Aged 65+,2016,2378.2
Congo-Brazzaville,Population Aged 65+,2016,129.5
Côte d'Ivoire,Population Aged 65+,2016,668.8
Djibouti,Population Aged 65+,2016,40.8
Egypt,Population Aged 65+,2016,4786.3
Equatorial Guinea,Population Aged 65+,2016,30.3
Eritrea,Population Aged 65+,2016,149.5
Eswatini,Population Aged 65+,2016,44.3
Ethiopia,Population Aged 65+,2016,3597.5
Gabon,Population Aged 65+,2016,72.0
Gambia,Population Aged 65+,2016,56.7
Ghana,Population Aged 65+,2016,862.4
Guinea,Population Aged 65+,2016,337.8
Guinea-Bissau,Population Aged 65+,2016,48.2
Iran,Population Aged 65+,2016,4717.3
Iraq,Population Aged 65+,2016,1148.6
Israel,Population Aged 65+,2016,955.7
Jordan,Population Aged 65+,2016,358.1
Kenya,Population Aged 65+,2016,1065.6
Kuwait,Population Aged 65+,2016,89.5
Lebanon,Population Aged 65+,2016,435.7
Lesotho,Population Aged 65+,2016,100.0
Liberia,Population Aged 65+,2016,146.0
Libya,Population Aged 65+,2016,277.2
Madagascar,Population Aged 65+,2016,714.3
Malawi,Population Aged 65+,2016,453.9
Mali,Population Aged 65+,2016,450.8
Mauritania,Population Aged 65+,2016,129.8
Mauritius,Population Aged 65+,2016,132.3
Morocco,Population Aged 65+,2016,2293.4
Mozambique,Population Aged 65+,2016,804.5
Namibia,Population Aged 65+,2016,86.7
Niger,Population Aged 65+,2016,537.4
Nigeria,Population Aged 65+,2016,5085.2
Oman,Population Aged 65+,2016,101.6
Qatar,Population Aged 65+,2016,37.7
Réunion,Population Aged 65+,2016,93.9
Rwanda,Population Aged 65+,2016,321.6
Sao Tomé e Príncipe,Population Aged 65+,2016,5.9
Saudi Arabia,Population Aged 65+,2016,1021.2
Senegal,Population Aged 65+,2016,458.7
Seychelles,Population Aged 65+,2016,7.0
Sierra Leone,Population Aged 65+,2016,218.0
Somalia,Population Aged 65+,2016,400.4
South Africa,Population Aged 65+,2016,2873.8
South Sudan,Population Aged 65+,2016,369.3
Sudan,Population Aged 65+,2016,1389.5
Syria,Population Aged 65+,2016,727.4
Tanzania,Population Aged 65+,2016,1357.1
Togo,Population Aged 65+,2016,211.9
Tunisia,Population Aged 65+,2016,881.9
Uganda,Population Aged 65+,2016,752.1
United Arab Emirates,Population Aged 65+,2016,86.0
Yemen,Population Aged 65+,2016,767.1
Zambia,Population Aged 65+,2016,338.1
Zimbabwe,Population Aged 65+,2016,399.8
North America,Population Aged 65+,2016,55324.0
Canada,Population Aged 65+,2016,5921.0
USA,Population Aged 65+,2016,49403.0
Western Europe,Population Aged 65+,2016,88532.3
Austria,Population Aged 65+,2016,1605.0
Belgium,Population Aged 65+,2016,2062.6
Cyprus,Population Aged 65+,2016,153.7
Denmark,Population Aged 65+,2016,1074.4
Finland,Population Aged 65+,2016,1123.1
France,Population Aged 65+,2016,12311.2
Germany,Population Aged 65+,2016,17300.2
Gibraltar,Population Aged 65+,2016,5.5
Greece,Population Aged 65+,2016,2292.9
Iceland,Population Aged 65+,2016,46.8
Ireland,Population Aged 65+,2016,624.5
Italy,Population Aged 65+,2016,13321.2
Liechtenstein,Population Aged 65+,2016,6.2
Luxembourg,Population Aged 65+,2016,81.3
Malta,Population Aged 65+,2016,84.5
Monaco,Population Aged 65+,2016,13.9
Netherlands,Population Aged 65+,2016,3085.3
Norway,Population Aged 65+,2016,855.1
Portugal,Population Aged 65+,2016,2140.8
Spain,Population Aged 65+,2016,8694.2
Sweden,Population Aged 65+,2016,1947.2
Switzerland,Population Aged 65+,2016,1495.1
Turkey,Population Aged 65+,2016,6495.2
United Kingdom,Population Aged 65+,2016,11712.6
Asia Pacific,Population Aged 60-64,2017,178219.5
Afghanistan,Population Aged 60-64,2017,548.5
Armenia,Population Aged 60-64,2017,164.7
Azerbaijan,Population Aged 60-64,2017,384.9
Bangladesh,Population Aged 60-64,2017,3571.2
Bhutan,Population Aged 60-64,2017,18.7
Brunei Darussalam,Population Aged 60-64,2017,14.4
Cambodia,Population Aged 60-64,2017,426.8
China,Population Aged 60-64,2017,81025.0
Fiji,Population Aged 60-64,2017,29.6
French Polynesia,Population Aged 60-64,2017,12.1
Guam,Population Aged 60-64,2017,7.2
"Hong Kong, China",Population Aged 60-64,2017,524.5
India,Population Aged 60-64,2017,45704.3
Indonesia,Population Aged 60-64,2017,8946.1
Japan,Population Aged 60-64,2017,7802.7
Kazakhstan,Population Aged 60-64,2017,757.7
Kiribati,Population Aged 60-64,2017,2.6
Kyrgyzstan,Population Aged 60-64,2017,182.2
Laos,Population Aged 60-64,2017,166.1
"Macau, China",Population Aged 60-64,2017,39.0
Malaysia,Population Aged 60-64,2017,1109.1
Maldives,Population Aged 60-64,2017,10.1
Mongolia,Population Aged 60-64,2017,79.6
Myanmar,Population Aged 60-64,2017,1925.3
Nepal,Population Aged 60-64,2017,778.5
New Caledonia,Population Aged 60-64,2017,11.3
North Korea,Population Aged 60-64,2017,982.7
Pakistan,Population Aged 60-64,2017,4499.2
Papua New Guinea,Population Aged 60-64,2017,198.3
Philippines,Population Aged 60-64,2017,3014.1
Samoa,Population Aged 60-64,2017,5.3
Singapore,Population Aged 60-64,2017,428.3
Solomon Islands,Population Aged 60-64,2017,11.6
South Korea,Population Aged 60-64,2017,3169.2
Sri Lanka,Population Aged 60-64,2017,1019.4
Taiwan,Population Aged 60-64,2017,1554.1
Tajikistan,Population Aged 60-64,2017,192.2
Thailand,Population Aged 60-64,2017,3852.3
Tonga,Population Aged 60-64,2017,2.8
Turkmenistan,Population Aged 60-64,2017,173.7
Uzbekistan,Population Aged 60-64,2017,1018.7
Vanuatu,Population Aged 60-64,2017,5.8
Vietnam,Population Aged 60-64,2017,3849.9
Australasia,Population Aged 60-64,2017,1592.8
Australia,Population Aged 60-64,2017,1332.0
New Zealand,Population Aged 60-64,2017,260.7
Eastern Europe,Population Aged 60-64,2017,21626.7
Albania,Population Aged 60-64,2017,166.5
Belarus,Population Aged 60-64,2017,599.3
Bosnia and Herzegovina,Population Aged 60-64,2017,257.1
Bulgaria,Population Aged 60-64,2017,493.3
Croatia,Population Aged 60-64,2017,299.1
Czech Republic,Population Aged 60-64,2017,712.0
Estonia,Population Aged 60-64,2017,83.6
Georgia,Population Aged 60-64,2017,230.7
Hungary,Population Aged 60-64,2017,731.4
Latvia,Population Aged 60-64,2017,123.4
Lithuania,Population Aged 60-64,2017,173.2
Moldova,Population Aged 60-64,2017,275.2
Montenegro,Population Aged 60-64,2017,41.0
North Macedonia,Population Aged 60-64,2017,126.0
Poland,Population Aged 60-64,2017,2751.8
Romania,Population Aged 60-64,2017,1356.3
Russia,Population Aged 60-64,2017,9456.5
Serbia,Population Aged 60-64,2017,558.8
Slovakia,Population Aged 60-64,2017,366.6
Slovenia,Population Aged 60-64,2017,146.5
Ukraine,Population Aged 60-64,2017,2678.4
Latin America,Population Aged 60-64,2017,23876.1
Antigua and Barbuda,Population Aged 60-64,2017,4.0
Argentina,Population Aged 60-64,2017,1858.2
Aruba,Population Aged 60-64,2017,7.0
Bahamas,Population Aged 60-64,2017,14.6
Barbados,Population Aged 60-64,2017,17.0
Belize,Population Aged 60-64,2017,8.8
Bolivia,Population Aged 60-64,2017,313.5
Brazil,Population Aged 60-64,2017,8589.1
Chile,Population Aged 60-64,2017,919.6
Colombia,Population Aged 60-64,2017,1900.9
Costa Rica,Population Aged 60-64,2017,200.8
Cuba,Population Aged 60-64,2017,592.7
Curacao,Population Aged 60-64,2017,10.4
Dominican Republic,Population Aged 60-64,2017,348.6
Ecuador,Population Aged 60-64,2017,552.3
El Salvador,Population Aged 60-64,2017,211.5
French Guiana,Population Aged 60-64,2017,8.8
Grenada,Population Aged 60-64,2017,4.9
Guadeloupe,Population Aged 60-64,2017,25.5
Guatemala,Population Aged 60-64,2017,381.3
Guyana,Population Aged 60-64,2017,26.0
Haiti,Population Aged 60-64,2017,276.0
Honduras,Population Aged 60-64,2017,214.0
Jamaica,Population Aged 60-64,2017,108.1
Martinique,Population Aged 60-64,2017,26.3
Mexico,Population Aged 60-64,2017,4079.7
Nicaragua,Population Aged 60-64,2017,183.0
Panama,Population Aged 60-64,2017,141.5
Paraguay,Population Aged 60-64,2017,209.0
Peru,Population Aged 60-64,2017,1118.9
Puerto Rico,Population Aged 60-64,2017,184.0
St Lucia,Population Aged 60-64,2017,7.2
St Vincent and the Grenadines,Population Aged 60-64,2017,4.7
Suriname,Population Aged 60-64,2017,18.3
Trinidad and Tobago,Population Aged 60-64,2017,69.4
Uruguay,Population Aged 60-64,2017,169.4
US Virgin Islands,Population Aged 60-64,2017,7.1
Venezuela,Population Aged 60-64,2017,1064.0
Middle East and Africa,Population Aged 60-64,2017,30422.7
Algeria,Population Aged 60-64,2017,1308.4
Angola,Population Aged 60-64,2017,396.9
Bahrain,Population Aged 60-64,2017,34.4
Benin,Population Aged 60-64,2017,196.3
Botswana,Population Aged 60-64,2017,54.4
Burkina Faso,Population Aged 60-64,2017,280.1
Burundi,Population Aged 60-64,2017,181.0
Cabo Verde,Population Aged 60-64,2017,13.9
Cameroon,Population Aged 60-64,2017,387.5
Central African Republic,Population Aged 60-64,2017,75.7
Chad,Population Aged 60-64,2017,224.1
Comoros,Population Aged 60-64,2017,15.6
"Congo, Democratic Republic",Population Aged 60-64,2017,1333.9
Congo-Brazzaville,Population Aged 60-64,2017,84.6
Côte d'Ivoire,Population Aged 60-64,2017,443.3
Djibouti,Population Aged 60-64,2017,21.9
Egypt,Population Aged 60-64,2017,2561.5
Equatorial Guinea,Population Aged 60-64,2017,19.6
Eritrea,Population Aged 60-64,2017,68.5
Eswatini,Population Aged 60-64,2017,19.5
Ethiopia,Population Aged 60-64,2017,1864.2
Gabon,Population Aged 60-64,2017,36.7
Gambia,Population Aged 60-64,2017,30.4
Ghana,Population Aged 60-64,2017,544.7
Guinea,Population Aged 60-64,2017,219.6
Guinea-Bissau,Population Aged 60-64,2017,33.5
Iran,Population Aged 60-64,2017,2730.8
Iraq,Population Aged 60-64,2017,714.4
Israel,Population Aged 60-64,2017,370.1
Jordan,Population Aged 60-64,2017,179.9
Kenya,Population Aged 60-64,2017,782.0
Kuwait,Population Aged 60-64,2017,110.6
Lebanon,Population Aged 60-64,2017,229.4
Lesotho,Population Aged 60-64,2017,52.1
Liberia,Population Aged 60-64,2017,88.4
Libya,Population Aged 60-64,2017,144.6
Madagascar,Population Aged 60-64,2017,481.1
Malawi,Population Aged 60-64,2017,247.5
Mali,Population Aged 60-64,2017,270.2
Mauritania,Population Aged 60-64,2017,77.6
Mauritius,Population Aged 60-64,2017,71.2
Morocco,Population Aged 60-64,2017,1397.2
Mozambique,Population Aged 60-64,2017,444.8
Namibia,Population Aged 60-64,2017,45.5
Niger,Population Aged 60-64,2017,334.5
Nigeria,Population Aged 60-64,2017,3327.3
Oman,Population Aged 60-64,2017,74.8
Qatar,Population Aged 60-64,2017,50.3
Réunion,Population Aged 60-64,2017,46.2
Rwanda,Population Aged 60-64,2017,226.8
Sao Tomé e Príncipe,Population Aged 60-64,2017,3.6
Saudi Arabia,Population Aged 60-64,2017,786.9
Senegal,Population Aged 60-64,2017,264.4
Seychelles,Population Aged 60-64,2017,4.1
Sierra Leone,Population Aged 60-64,2017,124.9
Somalia,Population Aged 60-64,2017,245.5
South Africa,Population Aged 60-64,2017,1684.0
South Sudan,Population Aged 60-64,2017,185.8
Sudan,Population Aged 60-64,2017,794.3
Syria,Population Aged 60-64,2017,429.9
Tanzania,Population Aged 60-64,2017,830.6
Togo,Population Aged 60-64,2017,134.3
Tunisia,Population Aged 60-64,2017,498.8
Uganda,Population Aged 60-64,2017,500.6
United Arab Emirates,Population Aged 60-64,2017,97.5
Yemen,Population Aged 60-64,2017,455.3
Zambia,Population Aged 60-64,2017,207.2
Zimbabwe,Population Aged 60-64,2017,227.8
North America,Population Aged 60-64,2017,22404.9
Canada,Population Aged 60-64,2017,2388.1
USA,Population Aged 60-64,2017,20016.8
Western Europe,Population Aged 60-64,2017,28460.0
Austria,Population Aged 60-64,2017,505.0
Belgium,Population Aged 60-64,2017,686.4
Cyprus,Population Aged 60-64,2017,59.5
Denmark,Population Aged 60-64,2017,339.9
Finland,Population Aged 60-64,2017,371.7
France,Population Aged 60-64,2017,3954.0
Germany,Population Aged 60-64,2017,5281.3
Greece,Population Aged 60-64,2017,653.2
Iceland,Population Aged 60-64,2017,18.8
Ireland,Population Aged 60-64,2017,240.7
Italy,Population Aged 60-64,2017,3681.0
Luxembourg,Population Aged 60-64,2017,31.1
Malta,Population Aged 60-64,2017,28.7
