Geography,Category,Unit per million,year,per million
Peru,Consumer Expenditure on Health Goods and Medical Services,PEN,2016,19771.7
Uruguay,Consumer Expenditure on Health Goods and Medical Services,UYU,2016,131052.1
Venezuela,Consumer Expenditure on Health Goods and Medical Services,VES,2016,16.2
Middle East and Africa,Consumer Expenditure on Health Goods and Medical Services,USD,2016,113745.8
Algeria,Consumer Expenditure on Health Goods and Medical Services,DZD,2016,160375.4
Angola,Consumer Expenditure on Health Goods and Medical Services,AOA,2016,469770.4
Bahrain,Consumer Expenditure on Health Goods and Medical Services,BHD,2016,261.1
Cameroon,Consumer Expenditure on Health Goods and Medical Services,XAF,2016,181001.8
Côte d'Ivoire,Consumer Expenditure on Health Goods and Medical Services,XOF,2016,831663.4
Egypt,Consumer Expenditure on Health Goods and Medical Services,EGP,2016,224342.8
Ethiopia,Consumer Expenditure on Health Goods and Medical Services,ETB,2016,17676.7
Ghana,Consumer Expenditure on Health Goods and Medical Services,GHS,2016,1775.5
Iran,Consumer Expenditure on Health Goods and Medical Services,IRR,2016,510658121.1
Iraq,Consumer Expenditure on Health Goods and Medical Services,IQD,2016,5504375.0
Israel,Consumer Expenditure on Health Goods and Medical Services,ILS,2016,19948.2
Jordan,Consumer Expenditure on Health Goods and Medical Services,JOD,2016,766.3
Kenya,Consumer Expenditure on Health Goods and Medical Services,KES,2016,111015.6
Kuwait,Consumer Expenditure on Health Goods and Medical Services,KWD,2016,237.6
Lebanon,Consumer Expenditure on Health Goods and Medical Services,LBP,2016,5266031.7
Morocco,Consumer Expenditure on Health Goods and Medical Services,MAD,2016,20345.2
Nigeria,Consumer Expenditure on Health Goods and Medical Services,NGN,2016,1732154.9
Oman,Consumer Expenditure on Health Goods and Medical Services,OMR,2016,142.7
Qatar,Consumer Expenditure on Health Goods and Medical Services,QAR,2016,3887.9
Saudi Arabia,Consumer Expenditure on Health Goods and Medical Services,SAR,2016,18365.8
South Africa,Consumer Expenditure on Health Goods and Medical Services,ZAR,2016,209231.2
Tanzania,Consumer Expenditure on Health Goods and Medical Services,TZS,2016,3019228.3
Tunisia,Consumer Expenditure on Health Goods and Medical Services,TND,2016,3091.3
Uganda,Consumer Expenditure on Health Goods and Medical Services,UGX,2016,3672076.1
United Arab Emirates,Consumer Expenditure on Health Goods and Medical Services,AED,2016,4421.1
North America,Consumer Expenditure on Health Goods and Medical Services,USD,2016,2727591.6
Canada,Consumer Expenditure on Health Goods and Medical Services,CAD,2016,49661.0
USA,Consumer Expenditure on Health Goods and Medical Services,USD,2016,2690122.9
Western Europe,Consumer Expenditure on Health Goods and Medical Services,USD,2016,388213.3
Austria,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,7254.0
Belgium,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,14109.5
Denmark,Consumer Expenditure on Health Goods and Medical Services,DKK,2016,27863.6
Finland,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,5260.0
France,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,49338.1
Germany,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,79959.0
Greece,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,5021.4
Ireland,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,4485.1
Italy,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,35910.5
Netherlands,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,10915.0
Norway,Consumer Expenditure on Health Goods and Medical Services,NOK,2016,38980.9
Portugal,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,6746.4
Spain,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,26171.0
Sweden,Consumer Expenditure on Health Goods and Medical Services,SEK,2016,62838.0
Switzerland,Consumer Expenditure on Health Goods and Medical Services,CHF,2016,55492.5
Turkey,Consumer Expenditure on Health Goods and Medical Services,TRY,2016,34110.9
United Kingdom,Consumer Expenditure on Health Goods and Medical Services,GBP,2016,22695.4
Asia Pacific,Consumer Expenditure on Health Goods and Medical Services,USD,2017,693923.9
Azerbaijan,Consumer Expenditure on Health Goods and Medical Services,AZN,2017,1920.5
Bangladesh,Consumer Expenditure on Health Goods and Medical Services,BDT,2017,365211.4
Cambodia,Consumer Expenditure on Health Goods and Medical Services,KHR,2017,4940164.4
China,Consumer Expenditure on Health Goods and Medical Services,CNY,2017,2522044.8
"Hong Kong, China",Consumer Expenditure on Health Goods and Medical Services,HKD,2017,85700.7
India,Consumer Expenditure on Health Goods and Medical Services,INR,2017,4569973.7
Indonesia,Consumer Expenditure on Health Goods and Medical Services,IDR,2017,224863885.8
Japan,Consumer Expenditure on Health Goods and Medical Services,JPY,2017,11080215.8
Kazakhstan,Consumer Expenditure on Health Goods and Medical Services,KZT,2017,1249424.1
Laos,Consumer Expenditure on Health Goods and Medical Services,LAK,2017,2327064.3
Malaysia,Consumer Expenditure on Health Goods and Medical Services,MYR,2017,20531.1
Myanmar,Consumer Expenditure on Health Goods and Medical Services,MMK,2017,1372221.7
Pakistan,Consumer Expenditure on Health Goods and Medical Services,PKR,2017,1325411.4
Philippines,Consumer Expenditure on Health Goods and Medical Services,PHP,2017,344058.4
Singapore,Consumer Expenditure on Health Goods and Medical Services,SGD,2017,11995.8
South Korea,Consumer Expenditure on Health Goods and Medical Services,KRW,2017,41419409.8
Sri Lanka,Consumer Expenditure on Health Goods and Medical Services,LKR,2017,236032.6
Taiwan,Consumer Expenditure on Health Goods and Medical Services,TWD,2017,359606.5
Thailand,Consumer Expenditure on Health Goods and Medical Services,THB,2017,393729.7
Turkmenistan,Consumer Expenditure on Health Goods and Medical Services,TMT,2017,797.7
Uzbekistan,Consumer Expenditure on Health Goods and Medical Services,UZS,2017,9277256.8
Vietnam,Consumer Expenditure on Health Goods and Medical Services,VND,2017,185545580.6
Australasia,Consumer Expenditure on Health Goods and Medical Services,USD,2017,53969.6
Australia,Consumer Expenditure on Health Goods and Medical Services,AUD,2017,66379.2
New Zealand,Consumer Expenditure on Health Goods and Medical Services,NZD,2017,4367.9
Eastern Europe,Consumer Expenditure on Health Goods and Medical Services,USD,2017,83497.6
Belarus,Consumer Expenditure on Health Goods and Medical Services,BYN,2017,1977.5
Bosnia and Herzegovina,Consumer Expenditure on Health Goods and Medical Services,BAM,2017,983.7
Bulgaria,Consumer Expenditure on Health Goods and Medical Services,BGN,2017,4145.8
Croatia,Consumer Expenditure on Health Goods and Medical Services,HRK,2017,10839.5
Czech Republic,Consumer Expenditure on Health Goods and Medical Services,CZK,2017,59998.0
Estonia,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,397.1
Georgia,Consumer Expenditure on Health Goods and Medical Services,GEL,2017,3871.0
Hungary,Consumer Expenditure on Health Goods and Medical Services,HuF,2017,832418.9
Latvia,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,779.6
Lithuania,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,1142.9
Montenegro,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,89.0
North Macedonia,Consumer Expenditure on Health Goods and Medical Services,MKD,2017,7825.9
Poland,Consumer Expenditure on Health Goods and Medical Services,PLN,2017,64778.5
Romania,Consumer Expenditure on Health Goods and Medical Services,RON,2017,33170.7
Russia,Consumer Expenditure on Health Goods and Medical Services,RUB,2017,1979206.2
Serbia,Consumer Expenditure on Health Goods and Medical Services,RSD,2017,133674.6
Slovakia,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,1153.3
Slovenia,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,900.7
Ukraine,Consumer Expenditure on Health Goods and Medical Services,UAH,2017,101973.8
Latin America,Consumer Expenditure on Health Goods and Medical Services,USD,2017,241899.4
Argentina,Consumer Expenditure on Health Goods and Medical Services,ARS,2017,413787.4
Bolivia,Consumer Expenditure on Health Goods and Medical Services,BOB,2017,5540.6
Brazil,Consumer Expenditure on Health Goods and Medical Services,BRL,2017,364454.0
Chile,Consumer Expenditure on Health Goods and Medical Services,CLP,2017,8422594.6
Colombia,Consumer Expenditure on Health Goods and Medical Services,COP,2017,49028000.0
Costa Rica,Consumer Expenditure on Health Goods and Medical Services,CRC,2017,1053253.2
Dominican Republic,Consumer Expenditure on Health Goods and Medical Services,DOP,2017,95111.4
Ecuador,Consumer Expenditure on Health Goods and Medical Services,USD,2017,4279.1
El Salvador,Consumer Expenditure on Health Goods and Medical Services,USD,2017,1161.3
Guatemala,Consumer Expenditure on Health Goods and Medical Services,GTQ,2017,17952.4
Honduras,Consumer Expenditure on Health Goods and Medical Services,HNL,2017,19008.5
Mexico,Consumer Expenditure on Health Goods and Medical Services,MXN,2017,511040.6
Panama,Consumer Expenditure on Health Goods and Medical Services,PAB,2017,4062.5
Paraguay,Consumer Expenditure on Health Goods and Medical Services,PYG,2017,6461917.4
Peru,Consumer Expenditure on Health Goods and Medical Services,PEN,2017,20794.9
Uruguay,Consumer Expenditure on Health Goods and Medical Services,UYU,2017,141645.4
Venezuela,Consumer Expenditure on Health Goods and Medical Services,VES,2017,73.9
Middle East and Africa,Consumer Expenditure on Health Goods and Medical Services,USD,2017,114457.7
Algeria,Consumer Expenditure on Health Goods and Medical Services,DZD,2017,167068.8
Angola,Consumer Expenditure on Health Goods and Medical Services,AOA,2017,585949.9
Bahrain,Consumer Expenditure on Health Goods and Medical Services,BHD,2017,272.3
Cameroon,Consumer Expenditure on Health Goods and Medical Services,XAF,2017,190276.4
Côte d'Ivoire,Consumer Expenditure on Health Goods and Medical Services,XOF,2017,905586.1
Egypt,Consumer Expenditure on Health Goods and Medical Services,EGP,2017,311852.5
Ethiopia,Consumer Expenditure on Health Goods and Medical Services,ETB,2017,20983.4
Ghana,Consumer Expenditure on Health Goods and Medical Services,GHS,2017,1998.6
Iran,Consumer Expenditure on Health Goods and Medical Services,IRR,2017,581381223.6
Iraq,Consumer Expenditure on Health Goods and Medical Services,IQD,2017,5743852.1
Israel,Consumer Expenditure on Health Goods and Medical Services,ILS,2017,21529.7
Jordan,Consumer Expenditure on Health Goods and Medical Services,JOD,2017,955.6
Kenya,Consumer Expenditure on Health Goods and Medical Services,KES,2017,111919.7
Kuwait,Consumer Expenditure on Health Goods and Medical Services,KWD,2017,251.6
Lebanon,Consumer Expenditure on Health Goods and Medical Services,LBP,2017,5553070.3
Morocco,Consumer Expenditure on Health Goods and Medical Services,MAD,2017,20937.6
Nigeria,Consumer Expenditure on Health Goods and Medical Services,NGN,2017,1913885.1
Oman,Consumer Expenditure on Health Goods and Medical Services,OMR,2017,149.5
Qatar,Consumer Expenditure on Health Goods and Medical Services,QAR,2017,4114.9
Saudi Arabia,Consumer Expenditure on Health Goods and Medical Services,SAR,2017,18032.9
South Africa,Consumer Expenditure on Health Goods and Medical Services,ZAR,2017,227420.0
Tanzania,Consumer Expenditure on Health Goods and Medical Services,TZS,2017,3398885.7
Tunisia,Consumer Expenditure on Health Goods and Medical Services,TND,2017,3355.7
Uganda,Consumer Expenditure on Health Goods and Medical Services,UGX,2017,4055747.7
United Arab Emirates,Consumer Expenditure on Health Goods and Medical Services,AED,2017,4771.1
North America,Consumer Expenditure on Health Goods and Medical Services,USD,2017,2836093.5
Canada,Consumer Expenditure on Health Goods and Medical Services,CAD,2017,52071.0
USA,Consumer Expenditure on Health Goods and Medical Services,USD,2017,2795969.2
Western Europe,Consumer Expenditure on Health Goods and Medical Services,USD,2017,403852.5
Austria,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,7453.6
Belgium,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,14486.3
Denmark,Consumer Expenditure on Health Goods and Medical Services,DKK,2017,28743.5
Finland,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,5457.0
France,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,49632.0
Germany,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,82841.0
Greece,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,5169.3
Ireland,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,4590.8
Italy,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,37340.8
Netherlands,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,11079.0
Norway,Consumer Expenditure on Health Goods and Medical Services,NOK,2017,41357.0
Portugal,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,7000.7
Spain,Consumer Expenditure on Health Goods and Medical Services,EUR,2017,28298.0
Sweden,Consumer Expenditure on Health Goods and Medical Services,SEK,2017,63657.0
Switzerland,Consumer Expenditure on Health Goods and Medical Services,CHF,2017,56606.3
Turkey,Consumer Expenditure on Health Goods and Medical Services,TRY,2017,39789.7
United Kingdom,Consumer Expenditure on Health Goods and Medical Services,GBP,2017,23452.5
Asia Pacific,Consumer Expenditure on Health Goods and Medical Services,USD,2018,794552.7
Azerbaijan,Consumer Expenditure on Health Goods and Medical Services,AZN,2018,2102.0
Bangladesh,Consumer Expenditure on Health Goods and Medical Services,BDT,2018,436062.6
Cambodia,Consumer Expenditure on Health Goods and Medical Services,KHR,2018,5415915.4
China,Consumer Expenditure on Health Goods and Medical Services,CNY,2018,2983321.0
"Hong Kong, China",Consumer Expenditure on Health Goods and Medical Services,HKD,2018,92315.9
India,Consumer Expenditure on Health Goods and Medical Services,INR,2018,5355186.3
Indonesia,Consumer Expenditure on Health Goods and Medical Services,IDR,2018,259028583.9
Japan,Consumer Expenditure on Health Goods and Medical Services,JPY,2018,11188283.4
Kazakhstan,Consumer Expenditure on Health Goods and Medical Services,KZT,2018,1380682.8
Laos,Consumer Expenditure on Health Goods and Medical Services,LAK,2018,2632617.1
Malaysia,Consumer Expenditure on Health Goods and Medical Services,MYR,2018,22306.4
Myanmar,Consumer Expenditure on Health Goods and Medical Services,MMK,2018,1563340.0
Pakistan,Consumer Expenditure on Health Goods and Medical Services,PKR,2018,1494412.4
Philippines,Consumer Expenditure on Health Goods and Medical Services,PHP,2018,369885.6
Singapore,Consumer Expenditure on Health Goods and Medical Services,SGD,2018,12400.3
South Korea,Consumer Expenditure on Health Goods and Medical Services,KRW,2018,44359010.4
Sri Lanka,Consumer Expenditure on Health Goods and Medical Services,LKR,2018,262606.0
Taiwan,Consumer Expenditure on Health Goods and Medical Services,TWD,2018,373660.1
Thailand,Consumer Expenditure on Health Goods and Medical Services,THB,2018,414488.9
Turkmenistan,Consumer Expenditure on Health Goods and Medical Services,TMT,2018,794.5
Uzbekistan,Consumer Expenditure on Health Goods and Medical Services,UZS,2018,9957410.0
Vietnam,Consumer Expenditure on Health Goods and Medical Services,VND,2018,222607893.7
Australasia,Consumer Expenditure on Health Goods and Medical Services,USD,2018,55657.0
Australia,Consumer Expenditure on Health Goods and Medical Services,AUD,2018,70148.6
New Zealand,Consumer Expenditure on Health Goods and Medical Services,NZD,2018,4676.0
Eastern Europe,Consumer Expenditure on Health Goods and Medical Services,USD,2018,90246.9
Belarus,Consumer Expenditure on Health Goods and Medical Services,BYN,2018,2387.6
Bosnia and Herzegovina,Consumer Expenditure on Health Goods and Medical Services,BAM,2018,981.6
Bulgaria,Consumer Expenditure on Health Goods and Medical Services,BGN,2018,4409.3
Croatia,Consumer Expenditure on Health Goods and Medical Services,HRK,2018,11346.1
Czech Republic,Consumer Expenditure on Health Goods and Medical Services,CZK,2018,62752.9
Estonia,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,424.4
Georgia,Consumer Expenditure on Health Goods and Medical Services,GEL,2018,4218.7
Hungary,Consumer Expenditure on Health Goods and Medical Services,HuF,2018,863179.8
Latvia,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,808.4
Lithuania,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,1223.8
Montenegro,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,104.3
North Macedonia,Consumer Expenditure on Health Goods and Medical Services,MKD,2018,8324.5
Poland,Consumer Expenditure on Health Goods and Medical Services,PLN,2018,70671.2
Romania,Consumer Expenditure on Health Goods and Medical Services,RON,2018,36955.2
Russia,Consumer Expenditure on Health Goods and Medical Services,RUB,2018,2136296.1
Serbia,Consumer Expenditure on Health Goods and Medical Services,RSD,2018,141828.9
Slovakia,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,1215.2
Slovenia,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,963.1
Ukraine,Consumer Expenditure on Health Goods and Medical Services,UAH,2018,127053.2
Latin America,Consumer Expenditure on Health Goods and Medical Services,USD,2018,241397.0
Argentina,Consumer Expenditure on Health Goods and Medical Services,ARS,2018,633810.1
Bolivia,Consumer Expenditure on Health Goods and Medical Services,BOB,2018,5897.1
Brazil,Consumer Expenditure on Health Goods and Medical Services,BRL,2018,401398.1
Chile,Consumer Expenditure on Health Goods and Medical Services,CLP,2018,9139585.3
Colombia,Consumer Expenditure on Health Goods and Medical Services,COP,2018,54051419.0
Costa Rica,Consumer Expenditure on Health Goods and Medical Services,CRC,2018,1120125.8
Dominican Republic,Consumer Expenditure on Health Goods and Medical Services,DOP,2018,103592.6
Ecuador,Consumer Expenditure on Health Goods and Medical Services,USD,2018,4392.5
El Salvador,Consumer Expenditure on Health Goods and Medical Services,USD,2018,1209.0
Guatemala,Consumer Expenditure on Health Goods and Medical Services,GTQ,2018,19385.6
Honduras,Consumer Expenditure on Health Goods and Medical Services,HNL,2018,20912.7
Mexico,Consumer Expenditure on Health Goods and Medical Services,MXN,2018,545135.4
Panama,Consumer Expenditure on Health Goods and Medical Services,PAB,2018,4306.1
Paraguay,Consumer Expenditure on Health Goods and Medical Services,PYG,2018,7003107.2
Peru,Consumer Expenditure on Health Goods and Medical Services,PEN,2018,21816.1
Uruguay,Consumer Expenditure on Health Goods and Medical Services,UYU,2018,153705.9
Venezuela,Consumer Expenditure on Health Goods and Medical Services,VES,2018,39660.0
Middle East and Africa,Consumer Expenditure on Health Goods and Medical Services,USD,2018,122884.8
Algeria,Consumer Expenditure on Health Goods and Medical Services,DZD,2018,173213.5
Angola,Consumer Expenditure on Health Goods and Medical Services,AOA,2018,726671.7
Bahrain,Consumer Expenditure on Health Goods and Medical Services,BHD,2018,286.0
Cameroon,Consumer Expenditure on Health Goods and Medical Services,XAF,2018,201887.6
Côte d'Ivoire,Consumer Expenditure on Health Goods and Medical Services,XOF,2018,1006334.4
Egypt,Consumer Expenditure on Health Goods and Medical Services,EGP,2018,388101.7
Ethiopia,Consumer Expenditure on Health Goods and Medical Services,ETB,2018,26419.7
Ghana,Consumer Expenditure on Health Goods and Medical Services,GHS,2018,2285.0
Iran,Consumer Expenditure on Health Goods and Medical Services,IRR,2018,746428924.8
Iraq,Consumer Expenditure on Health Goods and Medical Services,IQD,2018,5967453.4
Israel,Consumer Expenditure on Health Goods and Medical Services,ILS,2018,22589.9
Jordan,Consumer Expenditure on Health Goods and Medical Services,JOD,2018,997.2
Kenya,Consumer Expenditure on Health Goods and Medical Services,KES,2018,118191.3
Kuwait,Consumer Expenditure on Health Goods and Medical Services,KWD,2018,263.7
Lebanon,Consumer Expenditure on Health Goods and Medical Services,LBP,2018,5798015.1
Morocco,Consumer Expenditure on Health Goods and Medical Services,MAD,2018,21726.0
Nigeria,Consumer Expenditure on Health Goods and Medical Services,NGN,2018,2061725.8
Oman,Consumer Expenditure on Health Goods and Medical Services,OMR,2018,143.5
Qatar,Consumer Expenditure on Health Goods and Medical Services,QAR,2018,4247.1
Saudi Arabia,Consumer Expenditure on Health Goods and Medical Services,SAR,2018,18068.2
South Africa,Consumer Expenditure on Health Goods and Medical Services,ZAR,2018,246660.0
Tanzania,Consumer Expenditure on Health Goods and Medical Services,TZS,2018,3713228.7
Tunisia,Consumer Expenditure on Health Goods and Medical Services,TND,2018,3767.0
Uganda,Consumer Expenditure on Health Goods and Medical Services,UGX,2018,4531785.6
United Arab Emirates,Consumer Expenditure on Health Goods and Medical Services,AED,2018,5280.4
North America,Consumer Expenditure on Health Goods and Medical Services,USD,2018,2961526.0
Canada,Consumer Expenditure on Health Goods and Medical Services,CAD,2018,54486.6
USA,Consumer Expenditure on Health Goods and Medical Services,USD,2018,2919475.9
Western Europe,Consumer Expenditure on Health Goods and Medical Services,USD,2018,430055.5
Austria,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,7577.0
Belgium,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,15198.1
Denmark,Consumer Expenditure on Health Goods and Medical Services,DKK,2018,29903.6
Finland,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,5725.9
France,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,49980.6
Germany,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,85537.0
Greece,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,5739.4
Ireland,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,4771.8
Italy,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,37972.6
Netherlands,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,11400.0
Norway,Consumer Expenditure on Health Goods and Medical Services,NOK,2018,42734.6
Portugal,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,7304.0
Spain,Consumer Expenditure on Health Goods and Medical Services,EUR,2018,29830.3
Sweden,Consumer Expenditure on Health Goods and Medical Services,SEK,2018,66812.0
Switzerland,Consumer Expenditure on Health Goods and Medical Services,CHF,2018,58340.4
Turkey,Consumer Expenditure on Health Goods and Medical Services,TRY,2018,45144.0
United Kingdom,Consumer Expenditure on Health Goods and Medical Services,GBP,2018,23929.6
Asia Pacific,Consumer Expenditure on Health Goods and Medical Services,USD,2019,854874.6
Azerbaijan,Consumer Expenditure on Health Goods and Medical Services,AZN,2019,2288.7
Bangladesh,Consumer Expenditure on Health Goods and Medical Services,BDT,2019,476676.2
Cambodia,Consumer Expenditure on Health Goods and Medical Services,KHR,2019,5199267.2
China,Consumer Expenditure on Health Goods and Medical Services,CNY,2019,3382680.5
"Hong Kong, China",Consumer Expenditure on Health Goods and Medical Services,HKD,2019,92597.4
India,Consumer Expenditure on Health Goods and Medical Services,INR,2019,5998548.0
Indonesia,Consumer Expenditure on Health Goods and Medical Services,IDR,2019,286437139.2
Japan,Consumer Expenditure on Health Goods and Medical Services,JPY,2019,11630839.3
Kazakhstan,Consumer Expenditure on Health Goods and Medical Services,KZT,2019,1582814.9
Laos,Consumer Expenditure on Health Goods and Medical Services,LAK,2019,2765443.6
Malaysia,Consumer Expenditure on Health Goods and Medical Services,MYR,2019,24138.7
Myanmar,Consumer Expenditure on Health Goods and Medical Services,MMK,2019,1675380.4
Pakistan,Consumer Expenditure on Health Goods and Medical Services,PKR,2019,1786560.8
Philippines,Consumer Expenditure on Health Goods and Medical Services,PHP,2019,403878.3
Singapore,Consumer Expenditure on Health Goods and Medical Services,SGD,2019,13246.7
South Korea,Consumer Expenditure on Health Goods and Medical Services,KRW,2019,48988602.1
Sri Lanka,Consumer Expenditure on Health Goods and Medical Services,LKR,2019,295659.8
Taiwan,Consumer Expenditure on Health Goods and Medical Services,TWD,2019,386478.6
